民主党,名詞,固有名詞,組織,*,民主党,*,*
政権,名詞,一般,*,*,政権,*,*
当時,名詞,副詞可能,*,*,当時,*,*
に,助詞,格助詞,一般,*,に,*,*
どん底,名詞,一般,*,*,どん底,*,*
だっ,助動詞,*,*,*,だ,特殊・ダ,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
景気,名詞,一般,*,*,景気,*,*
が,助詞,格助詞,一般,*,が,*,*
回復,名詞,サ変接続,*,*,回復,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
雇用,名詞,サ変接続,*,*,雇用,*,*
環境,名詞,一般,*,*,環境,*,*
は,助詞,係助詞,*,*,は,*,*
劇的,名詞,形容動詞語幹,*,*,劇的,*,*
に,助詞,副詞化,*,*,に,*,*
改善,名詞,サ変接続,*,*,改善,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
大学生,名詞,一般,*,*,大学生,*,*
の,助詞,連体化,*,*,の,*,*
就職,名詞,サ変接続,*,*,就職,*,*
率,名詞,接尾,一般,*,率,*,*
も,助詞,係助詞,*,*,も,*,*
過去,名詞,副詞可能,*,*,過去,*,*
最高,名詞,一般,*,*,最高,*,*
に,助詞,格助詞,一般,*,に,*,*
なり,動詞,自立,*,*,なる,五段・ラ行,連用形
中小,名詞,一般,*,*,中小,*,*
企業,名詞,一般,*,*,企業,*,*
の,助詞,連体化,*,*,の,*,*
経常,名詞,一般,*,*,経常,*,*
利益,名詞,一般,*,*,利益,*,*
は,助詞,係助詞,*,*,は,*,*
過去,名詞,副詞可能,*,*,過去,*,*
最高,名詞,一般,*,*,最高,*,*
と,助詞,格助詞,一般,*,と,*,*
なり,動詞,自立,*,*,なる,五段・ラ行,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
こうした,連体詞,*,*,*,こうした,*,*
政策,名詞,一般,*,*,政策,*,*
実現,名詞,サ変接続,*,*,実現,*,*
の,助詞,連体化,*,*,の,*,*
効果,名詞,一般,*,*,効果,*,*
を,助詞,格助詞,一般,*,を,*,*
国民,名詞,一般,*,*,国民,*,*
が,助詞,格助詞,一般,*,が,*,*
もっと,副詞,一般,*,*,もっと,*,*
実感,名詞,サ変接続,*,*,実感,*,*
できる,動詞,自立,*,*,できる,一段,基本形
よう,名詞,非自立,助動詞語幹,*,よう,*,*
全力,名詞,一般,*,*,全力,*,*
を,助詞,格助詞,一般,*,を,*,*
尽くし,動詞,自立,*,*,尽くす,五段・サ行,連用形
て,助詞,接続助詞,*,*,て,*,*
まいり,動詞,非自立,*,*,まいる,五段・ラ行,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
...,名詞,サ変接続,*,*,...,*,*
