マイ,名詞,固有名詞,人名,名,マイ,*,*
ナンバー,名詞,一般,*,*,ナンバー,*,*
の,助詞,連体化,*,*,の,*,*
個人,名詞,一般,*,*,個人,*,*
向け,名詞,接尾,一般,*,向け,*,*
専用,名詞,サ変接続,*,*,専用,*,*
サイト,名詞,一般,*,*,サイト,*,*
マイナポータル,名詞,固有名詞,一般,*,マイナポータル,*,*
で,助詞,格助詞,一般,*,で,*,*
は,助詞,係助詞,*,*,は,*,*
10,名詞,数,*,*,10,*,*
月,名詞,一般,*,*,月,*,*
から,助詞,格助詞,一般,*,から,*,*
一部,名詞,副詞可能,*,*,一部,*,*
の,助詞,連体化,*,*,の,*,*
自治体,名詞,一般,*,*,自治体,*,*
で,助詞,格助詞,一般,*,で,*,*
保育,名詞,サ変接続,*,*,保育,*,*
や,助詞,並立助詞,*,*,や,*,*
児童,名詞,一般,*,*,児童,*,*
手当,名詞,サ変接続,*,*,手当,*,*
児童,名詞,一般,*,*,児童,*,*
扶養,名詞,サ変接続,*,*,扶養,*,*
手当,名詞,サ変接続,*,*,手当,*,*
母子,名詞,一般,*,*,母子,*,*
保健,名詞,一般,*,*,保健,*,*
に関する,助詞,格助詞,連語,*,に関する,*,*
電子,名詞,一般,*,*,電子,*,*
申請,名詞,サ変接続,*,*,申請,*,*
が,助詞,格助詞,一般,*,が,*,*
できる,動詞,自立,*,*,できる,一段,基本形
子育て,名詞,サ変接続,*,*,子育て,*,*
ワン,名詞,一般,*,*,ワン,*,*
ストップ,名詞,サ変接続,*,*,ストップ,*,*
サービス,名詞,サ変接続,*,*,サービス,*,*
が,助詞,格助詞,一般,*,が,*,*
始まっ,動詞,自立,*,*,始まる,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
...,名詞,サ変接続,*,*,...,*,*
