各,接頭詞,名詞接続,*,*,各,*,*
患者,名詞,一般,*,*,患者,*,*
に,助詞,格助詞,一般,*,に,*,*
最適,名詞,形容動詞語幹,*,*,最適,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
がん,名詞,一般,*,*,がん,*,*
治療,名詞,サ変接続,*,*,治療,*,*
先進,名詞,一般,*,*,先進,*,*
医療,名詞,一般,*,*,医療,*,*
党,名詞,一般,*,*,党,*,*
厚生,名詞,一般,*,*,厚生,*,*
労働,名詞,サ変接続,*,*,労働,*,*
部会,名詞,一般,*,*,部会,*,*
は,助詞,係助詞,*,*,は,*,*
19,名詞,数,*,*,19,*,*
日,名詞,接尾,助数詞,*,日,*,*
東京,名詞,固有名詞,地域,一般,東京,*,*
都,名詞,接尾,地域,*,都,*,*
中央,名詞,固有名詞,地域,一般,中央,*,*
区,名詞,接尾,地域,*,区,*,*
に,助詞,格助詞,一般,*,に,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
国立,名詞,一般,*,*,国立,*,*
がん,名詞,一般,*,*,がん,*,*
研究,名詞,サ変接続,*,*,研究,*,*
センター,名詞,一般,*,*,センター,*,*
を,助詞,格助詞,一般,*,を,*,*
訪ね,動詞,自立,*,*,訪ねる,一段,連用形
がん,名詞,一般,*,*,がん,*,*
ゲノム,名詞,一般,*,*,ゲノム,*,*
医療,名詞,一般,*,*,医療,*,*
の,助詞,連体化,*,*,の,*,*
普及,名詞,サ変接続,*,*,普及,*,*
に,助詞,格助詞,一般,*,に,*,*
向け,動詞,自立,*,*,向ける,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
取り組み,名詞,一般,*,*,取り組み,*,*
や,助詞,並立助詞,*,*,や,*,*
課題,名詞,一般,*,*,課題,*,*
など,助詞,副助詞,*,*,など,*,*
を,助詞,格助詞,一般,*,を,*,*
聞き,動詞,自立,*,*,聞く,五段・カ行イ音便,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
がん,名詞,一般,*,*,がん,*,*
ゲノム,名詞,一般,*,*,ゲノム,*,*
遺伝子,名詞,一般,*,*,遺伝子,*,*
医療,名詞,一般,*,*,医療,*,*
