非,接頭詞,名詞接続,*,*,非,*,*
正規,名詞,一般,*,*,正規,*,*
の,助詞,連体化,*,*,の,*,*
待遇,名詞,サ変接続,*,*,待遇,*,*
差,名詞,接尾,一般,*,差,*,*
改めよ,動詞,自立,*,*,改める,一段,命令ｙｏ
衆議院,名詞,固有名詞,組織,*,衆議院,*,*
衆院,名詞,固有名詞,組織,*,衆院,*,*
予算,名詞,一般,*,*,予算,*,*
委員,名詞,一般,*,*,委員,*,*
会,名詞,接尾,一般,*,会,*,*
が,接続詞,*,*,*,が,*,*
審議,名詞,サ変接続,*,*,審議,*,*
入り,名詞,接尾,サ変接続,*,入り,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
石田,名詞,固有名詞,人名,姓,石田,*,*
政調,名詞,一般,*,*,政調,*,*
会長,名詞,一般,*,*,会長,*,*
が,助詞,格助詞,一般,*,が,*,*
2018,名詞,数,*,*,2018,*,*
年度,名詞,接尾,助数詞,*,年度,*,*
予算,名詞,一般,*,*,予算,*,*
案,名詞,接尾,一般,*,案,*,*
について,助詞,格助詞,連語,*,について,*,*
質問,名詞,サ変接続,*,*,質問,*,*
に,助詞,格助詞,一般,*,に,*,*
立ち,動詞,自立,*,*,立つ,五段・タ行,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
kokkai,名詞,固有名詞,組織,*,kokkai,*,*
国会,名詞,一般,*,*,国会,*,*
予算,名詞,一般,*,*,予算,*,*
