財務省,名詞,固有名詞,組織,*,財務省,*,*
森友文書,名詞,複合,*,*,森友文書,*,*
の,助詞,連体化,*,*,の,*,*
書き換え/与党,名詞,複合,*,*,書き換え/与党,*,*
として,助詞,格助詞,連語,*,として,*,*
厳しく,形容詞,自立,*,*,厳しい,形容詞・イ段,連用テ接続
対応山口代表,名詞,複合,*,*,対応山口代表,*,*
行政,名詞,一般,*,*,行政,*,*
の,助詞,連体化,*,*,の,*,*
信頼,名詞,サ変接続,*,*,信頼,*,*
を,助詞,格助詞,一般,*,を,*,*
失う,動詞,自立,*,*,失う,五段・ワ行促音便,基本形
もの,名詞,非自立,一般,*,もの,*,*
で,助詞,格助詞,一般,*,で,*,*
誠に,副詞,一般,*,*,誠に,*,*
遺憾,名詞,形容動詞語幹,*,*,遺憾,*,*
だ,助動詞,*,*,*,だ,特殊・ダ,基本形
財務省理財局,名詞,複合,*,*,財務省理財局,*,*
の,助詞,連体化,*,*,の,*,*
判断,名詞,サ変接続,*,*,判断,*,*
で,助詞,格助詞,一般,*,で,*,*
国会,名詞,一般,*,*,国会,*,*
に,助詞,格助詞,一般,*,に,*,*
明らか,名詞,形容動詞語幹,*,*,明らか,*,*
に,助詞,格助詞,一般,*,に,*,*
す,動詞,自立,*,*,する,サ変・スル,文語基本形
べき,助動詞,*,*,*,べし,文語・ベシ,体言接続
もの,名詞,非自立,一般,*,もの,*,*
を,助詞,格助詞,一般,*,を,*,*
明らか,名詞,形容動詞語幹,*,*,明らか,*,*
に,助詞,格助詞,一般,*,に,*,*
し,動詞,自立,*,*,する,サ変・スル,未然形
なかっ,助動詞,*,*,*,ない,特殊・ナイ,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
の,名詞,非自立,一般,*,の,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
あれ,助動詞,*,*,*,ある,五段・ラ行アル,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
国権,名詞,一般,*,*,国権,*,*
の,助詞,連体化,*,*,の,*,*
最高機関,名詞,複合,*,*,最高機関,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
ある,助動詞,*,*,*,ある,五段・ラ行アル,基本形
立法府(国会),名詞,複合,*,*,立法府(国会),*,*
を,助詞,格助詞,一般,*,を,*,*
軽視,名詞,サ変接続,*,*,軽視,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
もの,名詞,非自立,一般,*,もの,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
あり,助動詞,*,*,*,ある,五段・ラ行アル,連用形
断,名詞,一般,*,*,断,*,*
じ,助動詞,*,*,*,じ,不変化型,基本形
...,名詞,サ変接続,*,*,...,*,*
