森友,名詞,固有名詞,人名,姓,森友,*,*
問題,名詞,ナイ形容詞語幹,*,*,問題,*,*
文書,名詞,一般,*,*,文書,*,*
書き換え,名詞,サ変接続,*,*,書き換え,*,*
公明党,名詞,固有名詞,組織,*,公明党,*,*
は,助詞,係助詞,*,*,は,*,*
国会,名詞,一般,*,*,国会,*,*
審議,名詞,サ変接続,*,*,審議,*,*
の,助詞,連体化,*,*,の,*,*
場,名詞,一般,*,*,場,*,*
など,助詞,副助詞,*,*,など,*,*
で,助詞,格助詞,一般,*,で,*,*
真相,名詞,一般,*,*,真相,*,*
解明,名詞,サ変接続,*,*,解明,*,*
に,助詞,格助詞,一般,*,に,*,*
総力,名詞,一般,*,*,総力,*,*
を,助詞,格助詞,一般,*,を,*,*
挙げる,動詞,自立,*,*,挙げる,一段,基本形
よう,名詞,非自立,助動詞語幹,*,よう,*,*
財務省,名詞,固有名詞,組織,*,財務省,*,*
を,助詞,格助詞,一般,*,を,*,*
厳しく,形容詞,自立,*,*,厳しい,形容詞・イ段,連用テ接続
追及,名詞,サ変接続,*,*,追及,*,*
山口,名詞,固有名詞,地域,一般,山口,*,*
代表,名詞,サ変接続,*,*,代表,*,*
は,助詞,係助詞,*,*,は,*,*
行政,名詞,一般,*,*,行政,*,*
の,助詞,連体化,*,*,の,*,*
信頼,名詞,サ変接続,*,*,信頼,*,*
を,助詞,格助詞,一般,*,を,*,*
失う,動詞,自立,*,*,失う,五段・ワ行促音便,基本形
もの,名詞,非自立,一般,*,もの,*,*
で,助詞,格助詞,一般,*,で,*,*
誠に,副詞,一般,*,*,誠に,*,*
遺憾,名詞,形容動詞語幹,*,*,遺憾,*,*
だ,助動詞,*,*,*,だ,特殊・ダ,基本形
国権,名詞,一般,*,*,国権,*,*
の,助詞,連体化,*,*,の,*,*
最高,名詞,一般,*,*,最高,*,*
機関,名詞,一般,*,*,機関,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
ある,助動詞,*,*,*,ある,五段・ラ行アル,基本形
立法府,名詞,一般,*,*,立法府,*,*
(,名詞,サ変接続,*,*,(,*,*
国会,名詞,一般,*,*,国会,*,*
),名詞,サ変接続,*,*,),*,*
を,助詞,格助詞,一般,*,を,*,*
軽視,名詞,サ変接続,*,*,軽視,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
もの,名詞,非自立,一般,*,もの,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
あり,助動詞,*,*,*,ある,五段・ラ行アル,連用形
断じて,副詞,一般,*,*,断じて,*,*
許さ,動詞,自立,*,*,許す,五段・サ行,未然形
れ,動詞,接尾,*,*,れる,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
と,助詞,格助詞,引用,*,と,*,*
厳しく,形容詞,自立,*,*,厳しい,形容詞・イ段,連用テ接続
...,名詞,サ変接続,*,*,...,*,*
