沖縄,名詞,固有名詞,地域,一般,沖縄,*,*
の,助詞,連体化,*,*,の,*,*
基地負担,名詞,複合,*,*,基地負担,*,*
軽減,名詞,サ変接続,*,*,軽減,*,*
へ,助詞,格助詞,一般,*,へ,*,*
参院外交防衛委員会,名詞,複合,*,*,参院外交防衛委員会,*,*
で,助詞,格助詞,一般,*,で,*,*
杉議員,名詞,複合,*,*,杉議員,*,*
が,助詞,格助詞,一般,*,が,*,*
質問米兵,名詞,複合,*,*,質問米兵,*,*
や,助詞,並立助詞,*,*,や,*,*
軍属,名詞,一般,*,*,軍属,*,*
による,助詞,格助詞,連語,*,による,*,*
殺人,名詞,一般,*,*,殺人,*,*
や,助詞,並立助詞,*,*,や,*,*
婦女暴行,名詞,複合,*,*,婦女暴行,*,*
など,助詞,副助詞,*,*,など,*,*
の,助詞,連体化,*,*,の,*,*
凶悪犯罪,名詞,複合,*,*,凶悪犯罪,*,*
が,助詞,格助詞,一般,*,が,*,*
あっ,動詞,自立,*,*,ある,五段・ラ行,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
場合,名詞,副詞可能,*,*,場合,*,*
起訴前,名詞,複合,*,*,起訴前,*,*
に,助詞,格助詞,一般,*,に,*,*
容疑者,名詞,複合,*,*,容疑者,*,*
の,助詞,連体化,*,*,の,*,*
身柄,名詞,一般,*,*,身柄,*,*
を,助詞,格助詞,一般,*,を,*,*
引き渡す,動詞,自立,*,*,引き渡す,五段・サ行,基本形
米側,名詞,複合,*,*,米側,*,*
の,助詞,連体化,*,*,の,*,*
好意的考慮,名詞,複合,*,*,好意的考慮,*,*
について,助詞,格助詞,連語,*,について,*,*
現在,名詞,副詞可能,*,*,現在,*,*
まで,助詞,副助詞,*,*,まで,*,*
5件,名詞,複合,*,*,5件,*,*
の,助詞,連体化,*,*,の,*,*
実績,名詞,一般,*,*,実績,*,*
が,助詞,格助詞,一般,*,が,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
こと,名詞,非自立,一般,*,こと,*,*
を,助詞,格助詞,一般,*,を,*,*
強調,名詞,サ変接続,*,*,強調,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
日米...,名詞,複合,*,*,日米...,*,*
