働き,動詞,自立,*,*,働く,五段・カ行イ音便,連用形
方改革関連法案,名詞,複合,*,*,方改革関連法案,*,*
を,助詞,格助詞,一般,*,を,*,*
審議罰則付き,名詞,複合,*,*,審議罰則付き,*,*
の,助詞,連体化,*,*,の,*,*
時間外労働,名詞,複合,*,*,時間外労働,*,*
の,助詞,連体化,*,*,の,*,*
上限規制,名詞,複合,*,*,上限規制,*,*
の,助詞,連体化,*,*,の,*,*
創設,名詞,サ変接続,*,*,創設,*,*
勤務間インターバル制度,名詞,複合,*,*,勤務間インターバル制度,*,*
を,助詞,格助詞,一般,*,を,*,*
企業,名詞,一般,*,*,企業,*,*
の,助詞,連体化,*,*,の,*,*
努力義務,名詞,複合,*,*,努力義務,*,*
に,助詞,格助詞,一般,*,に,*,*
正社員,名詞,一般,*,*,正社員,*,*
と,助詞,並立助詞,*,*,と,*,*
非,接頭詞,名詞接続,*,*,非,*,*
正規労働者,名詞,複合,*,*,正規労働者,*,*
の,助詞,連体化,*,*,の,*,*
不合理,名詞,形容動詞語幹,*,*,不合理,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
待遇差,名詞,複合,*,*,待遇差,*,*
を,助詞,格助詞,一般,*,を,*,*
解消,名詞,サ変接続,*,*,解消,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
ため,名詞,非自立,副詞可能,*,ため,*,*
の,助詞,連体化,*,*,の,*,*
規定,名詞,サ変接続,*,*,規定,*,*
など,助詞,副助詞,*,*,など,*,*
を,助詞,格助詞,一般,*,を,*,*
整備,名詞,サ変接続,*,*,整備,*,*
長時間労働,名詞,複合,*,*,長時間労働,*,*
の,助詞,連体化,*,*,の,*,*
是正,名詞,サ変接続,*,*,是正,*,*
や,助詞,並立助詞,*,*,や,*,*
柔軟,名詞,形容動詞語幹,*,*,柔軟,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
働き方,名詞,複合,*,*,働き方,*,*
の,助詞,連体化,*,*,の,*,*
推進,名詞,サ変接続,*,*,推進,*,*
を,助詞,格助詞,一般,*,を,*,*
盛り込ん,動詞,自立,*,*,盛り込む,五段・マ行,連用タ接続
み,接頭詞,名詞接続,*,*,み,*,*
...,名詞,サ変接続,*,*,...,*,*
