新,接頭詞,名詞接続,*,*,新,*,*
動画,名詞,一般,*,*,動画,*,*
を,助詞,格助詞,一般,*,を,*,*
配信,名詞,サ変接続,*,*,配信,*,*
ドクター,名詞,一般,*,*,ドクター,*,*
ヘリ,名詞,一般,*,*,ヘリ,*,*
と,助詞,並立助詞,*,*,と,*,*
公明党,名詞,固有名詞,組織,*,公明党,*,*
公明党,名詞,固有名詞,組織,*,公明党,*,*
は,助詞,係助詞,*,*,は,*,*
動画,名詞,一般,*,*,動画,*,*
サイト,名詞,一般,*,*,サイト,*,*
youtube,名詞,固有名詞,組織,*,youtube,*,*
の,助詞,連体化,*,*,の,*,*
公式,名詞,形容動詞語幹,*,*,公式,*,*
チャンネル,名詞,一般,*,*,チャンネル,*,*
に,助詞,格助詞,一般,*,に,*,*
命,名詞,一般,*,*,命,*,*
を,助詞,格助詞,一般,*,を,*,*
つなぐ,動詞,自立,*,*,つなぐ,五段・ガ行,基本形
!,名詞,サ変接続,*,*,!,*,*
ドクター,名詞,一般,*,*,ドクター,*,*
ヘリ,名詞,一般,*,*,ヘリ,*,*
と,助詞,並立助詞,*,*,と,*,*
公明党,名詞,固有名詞,組織,*,公明党,*,*
の,助詞,連体化,*,*,の,*,*
戦い,名詞,一般,*,*,戦い,*,*
を,助詞,格助詞,一般,*,を,*,*
新た,名詞,形容動詞語幹,*,*,新た,*,*
に,助詞,副詞化,*,*,に,*,*
配信,名詞,サ変接続,*,*,配信,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
救急,名詞,一般,*,*,救急,*,*
救命,名詞,サ変接続,*,*,救命,*,*
医療,名詞,一般,*,*,医療,*,*
空,名詞,一般,*,*,空,*,*
ぜひ,副詞,一般,*,*,ぜひ,*,*
ご覧,名詞,一般,*,*,ご覧,*,*
下さい,動詞,自立,*,*,下さる,五段・ラ行特殊,連用形
!...,名詞,サ変接続,*,*,!...,*,*
