福島,名詞,固有名詞,地域,一般,福島,*,*
震災復興,名詞,複合,*,*,震災復興,*,*
東日本大震災,名詞,複合,*,*,東日本大震災,*,*
と,助詞,並立助詞,*,*,と,*,*
東京電力福島,名詞,複合,*,*,東京電力福島,*,*
第,接頭詞,数接続,*,*,第,*,*
1原発事故,名詞,複合,*,*,1原発事故,*,*
に,助詞,格助詞,一般,*,に,*,*
伴い,動詞,自立,*,*,伴う,五段・ワ行促音便,連用形
福島県浪江町,名詞,複合,*,*,福島県浪江町,*,*
から,助詞,格助詞,一般,*,から,*,*
避難,名詞,サ変接続,*,*,避難,*,*
を,助詞,格助詞,一般,*,を,*,*
強い,動詞,自立,*,*,強いる,一段,未然形
られ,動詞,接尾,*,*,られる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
大堀相馬焼,名詞,複合,*,*,大堀相馬焼,*,*
の,助詞,連体化,*,*,の,*,*
陶吉郎窯,名詞,複合,*,*,陶吉郎窯,*,*
が,助詞,格助詞,一般,*,が,*,*
4月30日,名詞,複合,*,*,4月30日,*,*
いわき市,名詞,複合,*,*,いわき市,*,*
で,助詞,格助詞,一般,*,で,*,*
再,接頭詞,名詞接続,*,*,再,*,*
出発,名詞,サ変接続,*,*,出発,*,*
福島復興,名詞,複合,*,*,福島復興,*,*
へ,助詞,格助詞,一般,*,へ,*,*
の,助詞,連体化,*,*,の,*,*
願い,名詞,一般,*,*,願い,*,*
を,助詞,格助詞,一般,*,を,*,*
乗せ,動詞,自立,*,*,乗せる,一段,連用形
多く,名詞,副詞可能,*,*,多く,*,*
の,助詞,連体化,*,*,の,*,*
人,名詞,一般,*,*,人,*,*
が,助詞,格助詞,一般,*,が,*,*
集まっ,動詞,自立,*,*,集まる,五段・ラ行,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
youtube,名詞,一般,*,*,youtube,*,*
で,助詞,格助詞,一般,*,で,*,*
も,助詞,係助詞,*,*,も,*,*
ご,接頭詞,名詞接続,*,*,ご,*,*
...,名詞,サ変接続,*,*,...,*,*
