富士,名詞,固有名詞,地域,一般,富士,*,*
の,助詞,連体化,*,*,の,*,*
国,名詞,一般,*,*,国,*,*
や,助詞,並立助詞,*,*,や,*,*
ま,フィラー,*,*,*,ま,*,*
なし,形容詞,自立,*,*,ない,形容詞・アウオ段,文語基本形
物産フェア1,名詞,複合,*,*,物産フェア1,*,*
本日,名詞,副詞可能,*,*,本日,*,*
自民党本部,名詞,複合,*,*,自民党本部,*,*
にて,助詞,格助詞,一般,*,にて,*,*
山梨県物産店,名詞,複合,*,*,山梨県物産店,*,*
を,助詞,格助詞,一般,*,を,*,*
開催,名詞,サ変接続,*,*,開催,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
富士山,名詞,固有名詞,一般,*,富士山,*,*
など,助詞,副助詞,*,*,など,*,*
の,助詞,連体化,*,*,の,*,*
名,接頭詞,名詞接続,*,*,名,*,*
峰,名詞,一般,*,*,峰,*,*
に,助詞,格助詞,一般,*,に,*,*
囲ま,動詞,自立,*,*,囲む,五段・マ行,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
山梨県,名詞,複合,*,*,山梨県,*,*
豊か,名詞,形容動詞語幹,*,*,豊か,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
自然,名詞,形容動詞語幹,*,*,自然,*,*
に,助詞,格助詞,一般,*,に,*,*
育ま,動詞,自立,*,*,育む,五段・マ行,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
旬,名詞,一般,*,*,旬,*,*
の,助詞,連体化,*,*,の,*,*
さくらんぼ,名詞,一般,*,*,さくらんぼ,*,*
や,助詞,並立助詞,*,*,や,*,*
トウモロコシ,名詞,一般,*,*,トウモロコシ,*,*
は,助詞,係助詞,*,*,は,*,*
あっという間に,副詞,一般,*,*,あっという間に,*,*
完売御礼,名詞,複合,*,*,完売御礼,*,*
と,助詞,格助詞,一般,*,と,*,*
なり,動詞,自立,*,*,なる,五段・ラ行,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
自民党,名詞,固有名詞,組織,*,自民党,*,*
物産展...,名詞,複合,*,*,物産展...,*,*
