和歌山,名詞,固有名詞,地域,一般,和歌山,*,*
県知事,名詞,一般,*,*,県知事,*,*
選挙,名詞,サ変接続,*,*,選挙,*,*
(,名詞,サ変接続,*,*,(,*,*
告示,名詞,サ変接続,*,*,告示,*,*
日,名詞,接尾,一般,*,日,*,*
11,名詞,数,*,*,11,*,*
月,名詞,一般,*,*,月,*,*
13,名詞,数,*,*,13,*,*
日,名詞,接尾,助数詞,*,日,*,*
投票,名詞,サ変接続,*,*,投票,*,*
日,名詞,接尾,一般,*,日,*,*
11,名詞,数,*,*,11,*,*
月,名詞,一般,*,*,月,*,*
30,名詞,数,*,*,30,*,*
日,名詞,接尾,助数詞,*,日,*,*
):,名詞,サ変接続,*,*,):,*,*
自由民主党,名詞,固有名詞,組織,*,自由民主党,*,*
平成,名詞,固有名詞,一般,*,平成,*,*
26,名詞,数,*,*,26,*,*
年,名詞,接尾,助数詞,*,年,*,*
9,名詞,数,*,*,9,*,*
月,名詞,一般,*,*,月,*,*
24,名詞,数,*,*,24,*,*
日,名詞,接尾,助数詞,*,日,*,*
現在,名詞,副詞可能,*,*,現在,*,*
に,助詞,格助詞,一般,*,に,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
よし,副詞,一般,*,*,よし,*,*
のぶ,名詞,固有名詞,人名,名,のぶ,*,*
推薦,名詞,サ変接続,*,*,推薦,*,*
仁,名詞,一般,*,*,仁,*,*
坂,名詞,接尾,一般,*,坂,*,*
吉,名詞,固有名詞,人名,姓,吉,*,*
伸,名詞,固有名詞,人名,名,伸,*,*
(,名詞,サ変接続,*,*,(,*,*
63,名詞,数,*,*,63,*,*
),名詞,サ変接続,*,*,),*,*
無,接頭詞,名詞接続,*,*,無,*,*
(,名詞,サ変接続,*,*,(,*,*
自,接頭詞,名詞接続,*,*,自,*,*
公,名詞,一般,*,*,公,*,*
..,名詞,サ変接続,*,*,..,*,*
