北九州,名詞,固有名詞,地域,一般,北九州,*,*
市長,名詞,一般,*,*,市長,*,*
選挙,名詞,サ変接続,*,*,選挙,*,*
(,名詞,サ変接続,*,*,(,*,*
告示,名詞,サ変接続,*,*,告示,*,*
日,名詞,接尾,一般,*,日,*,*
平成,名詞,固有名詞,一般,*,平成,*,*
27,名詞,数,*,*,27,*,*
年,名詞,接尾,助数詞,*,年,*,*
1,名詞,数,*,*,1,*,*
月,名詞,一般,*,*,月,*,*
11,名詞,数,*,*,11,*,*
日,名詞,接尾,助数詞,*,日,*,*
投票,名詞,サ変接続,*,*,投票,*,*
日,名詞,接尾,一般,*,日,*,*
1,名詞,数,*,*,1,*,*
月,名詞,一般,*,*,月,*,*
25,名詞,数,*,*,25,*,*
日,名詞,接尾,助数詞,*,日,*,*
):,名詞,サ変接続,*,*,):,*,*
告示,名詞,サ変接続,*,*,告示,*,*
日,名詞,接尾,一般,*,日,*,*
平成,名詞,固有名詞,一般,*,平成,*,*
27,名詞,数,*,*,27,*,*
年,名詞,接尾,助数詞,*,年,*,*
1,名詞,数,*,*,1,*,*
月,名詞,一般,*,*,月,*,*
11,名詞,数,*,*,11,*,*
日,名詞,接尾,助数詞,*,日,*,*
投票,名詞,サ変接続,*,*,投票,*,*
日,名詞,接尾,一般,*,日,*,*
1,名詞,数,*,*,1,*,*
月,名詞,一般,*,*,月,*,*
25,名詞,数,*,*,25,*,*
日,名詞,接尾,助数詞,*,日,*,*
自由民主党,名詞,固有名詞,組織,*,自由民主党,*,*
平成,名詞,固有名詞,一般,*,平成,*,*
26,名詞,数,*,*,26,*,*
年,名詞,接尾,助数詞,*,年,*,*
11,名詞,数,*,*,11,*,*
月,名詞,一般,*,*,月,*,*
18,名詞,数,*,*,18,*,*
日,名詞,接尾,助数詞,*,日,*,*
現在,名詞,副詞可能,*,*,現在,*,*
き,助動詞,*,*,*,き,文語・キ,基本形
..,名詞,サ変接続,*,*,..,*,*
