群馬,名詞,固有名詞,地域,一般,群馬,*,*
県知事,名詞,一般,*,*,県知事,*,*
選挙,名詞,サ変接続,*,*,選挙,*,*
(,名詞,サ変接続,*,*,(,*,*
告示,名詞,サ変接続,*,*,告示,*,*
日,名詞,接尾,一般,*,日,*,*
6,名詞,数,*,*,6,*,*
月,名詞,一般,*,*,月,*,*
18,名詞,数,*,*,18,*,*
日,名詞,接尾,助数詞,*,日,*,*
投票,名詞,サ変接続,*,*,投票,*,*
日,名詞,接尾,一般,*,日,*,*
7,名詞,数,*,*,7,*,*
月,名詞,一般,*,*,月,*,*
5,名詞,数,*,*,5,*,*
日,名詞,接尾,助数詞,*,日,*,*
):,名詞,サ変接続,*,*,):,*,*
告示,名詞,サ変接続,*,*,告示,*,*
日,名詞,接尾,一般,*,日,*,*
6,名詞,数,*,*,6,*,*
月,名詞,一般,*,*,月,*,*
18,名詞,数,*,*,18,*,*
日,名詞,接尾,助数詞,*,日,*,*
投票,名詞,サ変接続,*,*,投票,*,*
日,名詞,接尾,一般,*,日,*,*
7,名詞,数,*,*,7,*,*
月,名詞,一般,*,*,月,*,*
5,名詞,数,*,*,5,*,*
日,名詞,接尾,助数詞,*,日,*,*
自由民主党,名詞,固有名詞,組織,*,自由民主党,*,*
平成,名詞,固有名詞,一般,*,平成,*,*
27,名詞,数,*,*,27,*,*
年,名詞,接尾,助数詞,*,年,*,*
3,名詞,数,*,*,3,*,*
月,名詞,一般,*,*,月,*,*
17,名詞,数,*,*,17,*,*
日,名詞,接尾,助数詞,*,日,*,*
現在,名詞,副詞可能,*,*,現在,*,*
ホームページ,名詞,一般,*,*,ホームページ,*,*
..,名詞,サ変接続,*,*,..,*,*
