生涯現役社会,名詞,複合,*,*,生涯現役社会,*,*
の,助詞,連体化,*,*,の,*,*
実現,名詞,サ変接続,*,*,実現,*,*
に,助詞,格助詞,一般,*,に,*,*
向け,動詞,自立,*,*,向ける,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
雇用,名詞,サ変接続,*,*,雇用,*,*
就業対策,名詞,複合,*,*,就業対策,*,*
の,助詞,連体化,*,*,の,*,*
推進,名詞,サ変接続,*,*,推進,*,*
に,助詞,格助詞,一般,*,に,*,*
係る,動詞,自立,*,*,係る,五段・ラ行,基本形
提言(中間報告):,名詞,複合,*,*,提言(中間報告):,*,*
2015年6月18日自由民主党政務調査会生涯現役社会,名詞,複合,*,*,2015年6月18日自由民主党政務調査会生涯現役社会,*,*
の,助詞,連体化,*,*,の,*,*
実現,名詞,サ変接続,*,*,実現,*,*
に,助詞,格助詞,一般,*,に,*,*
向け,動詞,自立,*,*,向ける,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
雇用,名詞,サ変接続,*,*,雇用,*,*
就業対策,名詞,複合,*,*,就業対策,*,*
の,助詞,連体化,*,*,の,*,*
推進,名詞,サ変接続,*,*,推進,*,*
に,助詞,格助詞,一般,*,に,*,*
係る,動詞,自立,*,*,係る,五段・ラ行,基本形
提言(中間報告)pdf形式(224kb),名詞,複合,*,*,提言(中間報告)pdf形式(224kb),*,*
