間もなく,副詞,助詞類接続,*,*,間もなく,*,*
スタート,名詞,サ変接続,*,*,スタート,*,*
!【,名詞,サ変接続,*,*,!【,*,*
7,名詞,数,*,*,7,*,*
月,名詞,一般,*,*,月,*,*
22,名詞,数,*,*,22,*,*
日,名詞,接尾,助数詞,*,日,*,*
(,名詞,サ変接続,*,*,(,*,*
水,名詞,接尾,一般,*,水,*,*
),名詞,サ変接続,*,*,),*,*
cafesta,名詞,一般,*,*,cafesta,*,*
予告,名詞,サ変接続,*,*,予告,*,*
18,名詞,数,*,*,18,*,*
:,名詞,サ変接続,*,*,:,*,*
00,名詞,数,*,*,00,*,*
~「,名詞,サ変接続,*,*,~「,*,*
カフェスタ,名詞,一般,*,*,カフェスタ,*,*
189,名詞,数,*,*,189,*,*
女性,名詞,一般,*,*,女性,*,*
局,名詞,接尾,一般,*,局,*,*
~,名詞,サ変接続,*,*,~,*,*
児童,名詞,一般,*,*,児童,*,*
虐待,名詞,サ変接続,*,*,虐待,*,*
問題,名詞,ナイ形容詞語幹,*,*,問題,*,*
を,助詞,格助詞,一般,*,を,*,*
考える,動詞,自立,*,*,考える,一段,基本形
~」,名詞,サ変接続,*,*,~」,*,*
ニコ,名詞,一般,*,*,ニコ,*,*
生,名詞,接尾,一般,*,生,*,*
:,名詞,サ変接続,*,*,:,*,*
:,名詞,サ変接続,*,*,:,*,*
189,名詞,数,*,*,189,*,*
no,名詞,一般,*,*,no,*,*
虐待,名詞,サ変接続,*,*,虐待,*,*
