犯罪被害者等保護,名詞,複合,*,*,犯罪被害者等保護,*,*
支援体制,名詞,複合,*,*,支援体制,*,*
の,助詞,連体化,*,*,の,*,*
一層,副詞,助詞類接続,*,*,一層,*,*
の,助詞,連体化,*,*,の,*,*
推進,名詞,サ変接続,*,*,推進,*,*
の,助詞,連体化,*,*,の,*,*
ため,名詞,非自立,副詞可能,*,ため,*,*
の,助詞,連体化,*,*,の,*,*
提言:,名詞,複合,*,*,提言:,*,*
2015年7月30日自由民主党,名詞,複合,*,*,2015年7月30日自由民主党,*,*
政務調査会犯罪被害者等保護,名詞,複合,*,*,政務調査会犯罪被害者等保護,*,*
支援体制,名詞,複合,*,*,支援体制,*,*
の,助詞,連体化,*,*,の,*,*
一層,副詞,助詞類接続,*,*,一層,*,*
の,助詞,連体化,*,*,の,*,*
推進,名詞,サ変接続,*,*,推進,*,*
の,助詞,連体化,*,*,の,*,*
ため,名詞,非自立,副詞可能,*,ため,*,*
の,助詞,連体化,*,*,の,*,*
提言pdf形式(172kb),名詞,複合,*,*,提言pdf形式(172kb),*,*
