熊本,名詞,固有名詞,地域,一般,熊本,*,*
地震,名詞,一般,*,*,地震,*,*
4,名詞,数,*,*,4,*,*
月,名詞,一般,*,*,月,*,*
16,名詞,数,*,*,16,*,*
日,名詞,接尾,助数詞,*,日,*,*
夕方,名詞,副詞可能,*,*,夕方,*,*
安倍,名詞,固有名詞,人名,姓,安倍,*,*
総理,名詞,一般,*,*,総理,*,*
は,助詞,係助詞,*,*,は,*,*
地震,名詞,一般,*,*,地震,*,*
非常,名詞,形容動詞語幹,*,*,非常,*,*
災害,名詞,一般,*,*,災害,*,*
対策,名詞,サ変接続,*,*,対策,*,*
本部,名詞,一般,*,*,本部,*,*
会議,名詞,サ変接続,*,*,会議,*,*
(,名詞,サ変接続,*,*,(,*,*
第,接頭詞,数接続,*,*,第,*,*
6,名詞,数,*,*,6,*,*
回,名詞,接尾,助数詞,*,回,*,*
),名詞,サ変接続,*,*,),*,*
において,助詞,格助詞,連語,*,において,*,*
引き続き,副詞,一般,*,*,引き続き,*,*
人命,名詞,一般,*,*,人命,*,*
第,接頭詞,数接続,*,*,第,*,*
一,名詞,数,*,*,一,*,*
特に,副詞,一般,*,*,特に,*,*
高齢,名詞,一般,*,*,高齢,*,*
者,名詞,接尾,一般,*,者,*,*
や,助詞,並立助詞,*,*,や,*,*
乳幼児,名詞,一般,*,*,乳幼児,*,*
等,名詞,接尾,一般,*,等,*,*
配慮,名詞,サ変接続,*,*,配慮,*,*
が,助詞,格助詞,一般,*,が,*,*
必要,名詞,形容動詞語幹,*,*,必要,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
方々,名詞,一般,*,*,方々,*,*
に,助詞,格助詞,一般,*,に,*,*
も,助詞,係助詞,*,*,も,*,*
十分,名詞,形容動詞語幹,*,*,十分,*,*
に,助詞,副詞化,*,*,に,*,*
目配り,名詞,一般,*,*,目配り,*,*
を,助詞,格助詞,一般,*,を,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
ながら,助詞,接続助詞,*,*,ながら,*,*
きめ細か,名詞,形容動詞語幹,*,*,きめ細か,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
支援,名詞,サ変接続,*,*,支援,*,*
を,助詞,格助詞,一般,*,を,*,*
徹底,名詞,サ変接続,*,*,徹底,*,*
す,動詞,自立,*,*,する,サ変・スル,文語基本形
よう,名詞,非自立,助動詞語幹,*,よう,*,*
関係,名詞,サ変接続,*,*,関係,*,*
機関,名詞,一般,*,*,機関,*,*
に,助詞,格助詞,一般,*,に,*,*
指示,名詞,サ変接続,*,*,指示,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
