経済,名詞,一般,*,*,経済,*,*
の,助詞,連体化,*,*,の,*,*
好,接頭詞,名詞接続,*,*,好,*,*
循環,名詞,サ変接続,*,*,循環,*,*
に,助詞,格助詞,一般,*,に,*,*
向け,動詞,自立,*,*,向ける,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
ポートフォリオ・リバランス,名詞,一般,*,*,ポートフォリオ・リバランス,*,*
の,助詞,連体化,*,*,の,*,*
促進,名詞,サ変接続,*,*,促進,*,*
~国民,名詞,複合,*,*,~国民,*,*
の,助詞,連体化,*,*,の,*,*
安定的,名詞,複合,*,*,安定的,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
資産形成,名詞,複合,*,*,資産形成,*,*
に,助詞,格助詞,一般,*,に,*,*
向け,動詞,自立,*,*,向ける,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
~:,名詞,サ変接続,*,*,~:,*,*
2016年4月19日自由民主党政務調査会経済,名詞,複合,*,*,2016年4月19日自由民主党政務調査会経済,*,*
の,助詞,連体化,*,*,の,*,*
好,接頭詞,名詞接続,*,*,好,*,*
循環,名詞,サ変接続,*,*,循環,*,*
に,助詞,格助詞,一般,*,に,*,*
向け,動詞,自立,*,*,向ける,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
ポートフォリオ・リバランス,名詞,一般,*,*,ポートフォリオ・リバランス,*,*
の,助詞,連体化,*,*,の,*,*
促進~国民,名詞,複合,*,*,促進~国民,*,*
の,助詞,連体化,*,*,の,*,*
安定的,名詞,複合,*,*,安定的,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
資産形成,名詞,複合,*,*,資産形成,*,*
に,助詞,格助詞,一般,*,に,*,*
向,接頭詞,名詞接続,*,*,向,*,*
...,名詞,サ変接続,*,*,...,*,*
