まだまだ,副詞,助詞類接続,*,*,まだまだ,*,*
シェアプロジェクト継続中!,名詞,複合,*,*,シェアプロジェクト継続中!,*,*
アベノグラフィックス,名詞,一般,*,*,アベノグラフィックス,*,*
2,名詞,数,*,*,2,*,*
企業収益過去最高70.8兆円(2015年)】皆さん,名詞,複合,*,*,企業収益過去最高70.8兆円(2015年)】皆さん,*,*
の,助詞,連体化,*,*,の,*,*
暮らし,名詞,一般,*,*,暮らし,*,*
に,助詞,格助詞,一般,*,に,*,*
直結,名詞,サ変接続,*,*,直結,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
企業収益,名詞,複合,*,*,企業収益,*,*
の,助詞,連体化,*,*,の,*,*
増加,名詞,サ変接続,*,*,増加,*,*
は,助詞,係助詞,*,*,は,*,*
大,接頭詞,名詞接続,*,*,大,*,*
企業,名詞,一般,*,*,企業,*,*
だけ,助詞,副助詞,*,*,だけ,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
なく,助動詞,*,*,*,ない,特殊・ナイ,連用テ接続
中小企業,名詞,複合,*,*,中小企業,*,*
も,助詞,係助詞,*,*,も,*,*
過去最高,名詞,複合,*,*,過去最高,*,*
と,助詞,格助詞,一般,*,と,*,*
なり,動詞,自立,*,*,なる,五段・ラ行,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
この,連体詞,*,*,*,この,*,*
道,名詞,一般,*,*,道,*,*
を,助詞,格助詞,一般,*,を,*,*
力強く,形容詞,自立,*,*,力強い,形容詞・アウオ段,連用テ接続
前,名詞,副詞可能,*,*,前,*,*
へ,助詞,格助詞,一般,*,へ,*,*
