美味しい,形容詞,自立,*,*,美味しい,形容詞・イ段,基本形
なる,動詞,自立,*,*,なる,五段・ラ行,基本形
と,助詞,接続助詞,*,*,と,*,*
金時,名詞,一般,*,*,金時,*,*
の,助詞,連体化,*,*,の,*,*
天ぷら,名詞,一般,*,*,天ぷら,*,*
を,助詞,格助詞,一般,*,を,*,*
一生懸命,名詞,副詞可能,*,*,一生懸命,*,*
食べる,動詞,自立,*,*,食べる,一段,基本形
小さな,連体詞,*,*,*,小さな,*,*
お客様,名詞,一般,*,*,お客様,*,*
に,助詞,格助詞,一般,*,に,*,*
物産,名詞,一般,*,*,物産,*,*
展,名詞,接尾,一般,*,展,*,*
の,助詞,連体化,*,*,の,*,*
みなさん,名詞,代名詞,一般,*,みなさん,*,*
も,助詞,係助詞,*,*,も,*,*
目,名詞,一般,*,*,目,*,*
を,助詞,格助詞,一般,*,を,*,*
細め,動詞,自立,*,*,細める,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
!,名詞,サ変接続,*,*,!,*,*
自民党,名詞,固有名詞,組織,*,自民党,*,*
徳島,名詞,固有名詞,地域,一般,徳島,*,*
物産,名詞,一般,*,*,物産,*,*
展,名詞,接尾,一般,*,展,*,*
なる,動詞,自立,*,*,なる,五段・ラ行,基本形
と,助詞,接続助詞,*,*,と,*,*
金時,名詞,一般,*,*,金時,*,*
保護,名詞,サ変接続,*,*,保護,*,*
者,名詞,接尾,一般,*,者,*,*
の,助詞,連体化,*,*,の,*,*
方,名詞,非自立,一般,*,方,*,*
に,助詞,格助詞,一般,*,に,*,*
承諾,名詞,サ変接続,*,*,承諾,*,*
を,助詞,格助詞,一般,*,を,*,*
いただき,動詞,自立,*,*,いただく,五段・カ行イ音便,連用形
写真,名詞,一般,*,*,写真,*,*
を,助詞,格助詞,一般,*,を,*,*
掲載,名詞,サ変接続,*,*,掲載,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
せ,動詞,接尾,*,*,せる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
いただき,動詞,非自立,*,*,いただく,五段・カ行イ音便,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
