岡山,名詞,固有名詞,地域,一般,岡山,*,*
ふるさと,名詞,一般,*,*,ふるさと,*,*
フェア,名詞,一般,*,*,フェア,*,*
2,名詞,数,*,*,2,*,*
第,接頭詞,数接続,*,*,第,*,*
6,名詞,数,*,*,6,*,*
回,名詞,接尾,助数詞,*,回,*,*
b,名詞,固有名詞,組織,*,b,*,*
-,名詞,サ変接続,*,*,-,*,*
1,名詞,数,*,*,1,*,*
グランプリ,名詞,一般,*,*,グランプリ,*,*
で,助詞,格助詞,一般,*,で,*,*
優勝,名詞,サ変接続,*,*,優勝,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
ひる,動詞,自立,*,*,ひる,一段,基本形
ぜん,名詞,一般,*,*,ぜん,*,*
焼きそば,名詞,一般,*,*,焼きそば,*,*
が,助詞,格助詞,一般,*,が,*,*
試食,名詞,サ変接続,*,*,試食,*,*
に,助詞,格助詞,一般,*,に,*,*
提供,名詞,サ変接続,*,*,提供,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
ひる,動詞,自立,*,*,ひる,一段,基本形
ぜん,名詞,一般,*,*,ぜん,*,*
焼きそば,名詞,一般,*,*,焼きそば,*,*
b,名詞,一般,*,*,b,*,*
1,名詞,数,*,*,1,*,*
グランプリ,名詞,一般,*,*,グランプリ,*,*
