広,接頭詞,名詞接続,*,*,広,*,*
電電,名詞,固有名詞,組織,*,電電,*,*
停,動詞,自立,*,*,停る,五段・ラ行,体言接続特殊２
本通,名詞,固有名詞,地域,一般,本通,*,*
駅,名詞,接尾,地域,*,駅,*,*
前,名詞,副詞可能,*,*,前,*,*
叶,名詞,固有名詞,人名,姓,叶,*,*
や,助詞,並立助詞,*,*,や,*,*
前,名詞,副詞可能,*,*,前,*,*
で,助詞,格助詞,一般,*,で,*,*
の,助詞,連体化,*,*,の,*,*
街頭,名詞,一般,*,*,街頭,*,*
演説,名詞,サ変接続,*,*,演説,*,*
終了,名詞,サ変接続,*,*,終了,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
大雨,名詞,一般,*,*,大雨,*,*
の,助詞,連体化,*,*,の,*,*
中,名詞,非自立,副詞可能,*,中,*,*
300,名詞,数,*,*,300,*,*
人,名詞,接尾,助数詞,*,人,*,*
ほど,助詞,副助詞,*,*,ほど,*,*
の,助詞,連体化,*,*,の,*,*
皆様,名詞,一般,*,*,皆様,*,*
が,助詞,格助詞,一般,*,が,*,*
足,名詞,一般,*,*,足,*,*
を,助詞,格助詞,一般,*,を,*,*
止め,動詞,自立,*,*,止める,一段,連用形
演説,名詞,サ変接続,*,*,演説,*,*
を,助詞,格助詞,一般,*,を,*,*
聞い,動詞,自立,*,*,聞く,五段・カ行イ音便,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
ください,動詞,非自立,*,*,くださる,五段・ラ行特殊,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
大変,名詞,形容動詞語幹,*,*,大変,*,*
ありがとう,感動詞,*,*,*,ありがとう,*,*
ござい,助動詞,*,*,*,ござる,五段・ラ行特殊,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
!,名詞,サ変接続,*,*,!,*,*
これから,副詞,助詞類接続,*,*,これから,*,*
次,名詞,一般,*,*,次,*,*
の,助詞,連体化,*,*,の,*,*
演説,名詞,サ変接続,*,*,演説,*,*
会場,名詞,一般,*,*,会場,*,*
東広島,名詞,固有名詞,地域,一般,東広島,*,*
市,名詞,接尾,地域,*,市,*,*
の,助詞,連体化,*,*,の,*,*
フジグラン,名詞,一般,*,*,フジグラン,*,*
東広島,名詞,固有名詞,地域,一般,東広島,*,*
店,名詞,接尾,一般,*,店,*,*
へ,助詞,格助詞,一般,*,へ,*,*
向かい,動詞,自立,*,*,向かう,五段・ワ行促音便,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
