東広島,名詞,固有名詞,地域,一般,東広島,*,*
で,助詞,格助詞,一般,*,で,*,*
の,助詞,連体化,*,*,の,*,*
街頭演説終了,名詞,複合,*,*,街頭演説終了,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
市長,名詞,一般,*,*,市長,*,*
の,助詞,連体化,*,*,の,*,*
藏田市長,名詞,複合,*,*,藏田市長,*,*
も,助詞,係助詞,*,*,も,*,*
応援,名詞,サ変接続,*,*,応援,*,*
に,助詞,格助詞,一般,*,に,*,*
き,動詞,自立,*,*,くる,カ変・クル,連用形
て,助詞,接続助詞,*,*,て,*,*
くだ,名詞,一般,*,*,くだ,*,*
さり,動詞,自立,*,*,さる,五段・ラ行,連用形
雨,名詞,一般,*,*,雨,*,*
の,助詞,連体化,*,*,の,*,*
中150人,名詞,複合,*,*,中150人,*,*
を,助詞,格助詞,一般,*,を,*,*
超える,動詞,自立,*,*,超える,一段,基本形
皆様,名詞,一般,*,*,皆様,*,*
が,助詞,格助詞,一般,*,が,*,*
耳,名詞,一般,*,*,耳,*,*
を,助詞,格助詞,一般,*,を,*,*
傾け,動詞,自立,*,*,傾ける,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
くれ,動詞,非自立,*,*,くれる,一段・クレル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
どうも,副詞,一般,*,*,どうも,*,*
ありがとう,感動詞,*,*,*,ありがとう,*,*
ござい,助動詞,*,*,*,ござる,五段・ラ行特殊,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
!,名詞,サ変接続,*,*,!,*,*
