1,名詞,数,*,*,1,*,*
今年,名詞,副詞可能,*,*,今年,*,*
は,助詞,係助詞,*,*,は,*,*
戦後,名詞,副詞可能,*,*,戦後,*,*
70,名詞,数,*,*,70,*,*
年,名詞,接尾,助数詞,*,年,*,*
という,助詞,格助詞,連語,*,という,*,*
節目,名詞,一般,*,*,節目,*,*
の,助詞,連体化,*,*,の,*,*
年,名詞,一般,*,*,年,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
戦後,名詞,副詞可能,*,*,戦後,*,*
アメリカ,名詞,固有名詞,地域,国,アメリカ,*,*
占領,名詞,サ変接続,*,*,占領,*,*
軍,名詞,接尾,一般,*,軍,*,*
の,助詞,連体化,*,*,の,*,*
下,名詞,一般,*,*,下,*,*
で,助詞,格助詞,一般,*,で,*,*
形,名詞,一般,*,*,形,*,*
の,助詞,連体化,*,*,の,*,*
上,名詞,非自立,副詞可能,*,上,*,*
で,助詞,格助詞,一般,*,で,*,*
の,助詞,連体化,*,*,の,*,*
民主,名詞,一般,*,*,民主,*,*
主義,名詞,一般,*,*,主義,*,*
は,助詞,係助詞,*,*,は,*,*
日本,名詞,固有名詞,地域,国,日本,*,*
に,助詞,格助詞,一般,*,に,*,*
導入,名詞,サ変接続,*,*,導入,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
が,助詞,接続助詞,*,*,が,*,*
いま,名詞,副詞可能,*,*,いま,*,*
の,助詞,連体化,*,*,の,*,*
日本,名詞,固有名詞,地域,国,日本,*,*
は,助詞,係助詞,*,*,は,*,*
依然として,副詞,一般,*,*,依然として,*,*
戦後,名詞,副詞可能,*,*,戦後,*,*
を,助詞,格助詞,一般,*,を,*,*
脱し,動詞,自立,*,*,脱す,五段・サ行,連用形
切れ,動詞,非自立,*,*,切れる,一段,未然形
ず,助動詞,*,*,*,ぬ,特殊・ヌ,連用ニ接続
政治,名詞,一般,*,*,政治,*,*
経済,名詞,一般,*,*,経済,*,*
社会,名詞,一般,*,*,社会,*,*
の,助詞,連体化,*,*,の,*,*
あらゆる,連体詞,*,*,*,あらゆる,*,*
面,名詞,一般,*,*,面,*,*
において,助詞,格助詞,連語,*,において,*,*
民主,名詞,一般,*,*,民主,*,*
主義,名詞,一般,*,*,主義,*,*
を,助詞,格助詞,一般,*,を,*,*
本当に,副詞,一般,*,*,本当に,*,*
理解,名詞,サ変接続,*,*,理解,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
国,名詞,一般,*,*,国,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
ある,助動詞,*,*,*,ある,五段・ラ行アル,基本形
と,助詞,格助詞,引用,*,と,*,*
は,助詞,係助詞,*,*,は,*,*
とうてい,副詞,一般,*,*,とうてい,*,*
思え,動詞,自立,*,*,思える,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
の,名詞,非自立,一般,*,の,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
小沢,名詞,固有名詞,人名,姓,小沢,*,*
一郎,名詞,固有名詞,人名,名,一郎,*,*
