共産党,名詞,固有名詞,組織,*,共産党,*,*
は,助詞,係助詞,*,*,は,*,*
すごい,形容詞,自立,*,*,すごい,形容詞・アウオ段,基本形
決断,名詞,サ変接続,*,*,決断,*,*
を,助詞,格助詞,一般,*,を,*,*
よく,形容詞,自立,*,*,よい,形容詞・アウオ段,連用テ接続
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
小沢一郎代表,名詞,複合,*,*,小沢一郎代表,*,*
は,助詞,係助詞,*,*,は,*,*
先日,名詞,副詞可能,*,*,先日,*,*
石川県小松市,名詞,複合,*,*,石川県小松市,*,*
で,助詞,格助詞,一般,*,で,*,*
講演,名詞,サ変接続,*,*,講演,*,*
に,助詞,格助詞,一般,*,に,*,*
招か,動詞,自立,*,*,招く,五段・カ行イ音便,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
日本政治,名詞,複合,*,*,日本政治,*,*
の,助詞,連体化,*,*,の,*,*
現況,名詞,一般,*,*,現況,*,*
について,助詞,格助詞,連語,*,について,*,*
話し,動詞,自立,*,*,話す,五段・サ行,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
その,連体詞,*,*,*,その,*,*
中,名詞,非自立,副詞可能,*,中,*,*
の,助詞,連体化,*,*,の,*,*
野党協力,名詞,複合,*,*,野党協力,*,*
に関して,助詞,格助詞,連語,*,に関して,*,*
の,助詞,連体化,*,*,の,*,*
発言要旨,名詞,複合,*,*,発言要旨,*,*
は,助詞,係助詞,*,*,は,*,*
こちら,名詞,代名詞,一般,*,こちら,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
野党協力,名詞,複合,*,*,野党協力,*,*
