とん,動詞,自立,*,*,とる,五段・ラ行,体言接続特殊
かつ,接続詞,*,*,*,かつ,*,*
勝つ,動詞,自立,*,*,勝つ,五段・タ行,基本形
✊」明日,名詞,複合,*,*,✊」明日,*,*
も,助詞,係助詞,*,*,も,*,*
また,接続詞,*,*,*,また,*,*
よろしく,副詞,一般,*,*,よろしく,*,*
お願い,名詞,サ変接続,*,*,お願い,*,*
致し,動詞,非自立,*,*,致す,五段・サ行,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
kibounotou,名詞,固有名詞,組織,*,kibounotou,*,*
希望,名詞,サ変接続,*,*,希望,*,*
の,助詞,連体化,*,*,の,*,*
党,名詞,一般,*,*,党,*,*
総,接頭詞,名詞接続,*,*,総,*,*
選挙,名詞,サ変接続,*,*,選挙,*,*
日本,名詞,固有名詞,地域,国,日本,*,*
に,助詞,格助詞,一般,*,に,*,*
希望,名詞,サ変接続,*,*,希望,*,*
を,助詞,格助詞,一般,*,を,*,*
小池百合子,名詞,複合,*,*,小池百合子,*,*
遊説,名詞,サ変接続,*,*,遊説,*,*
街頭演説,名詞,複合,*,*,街頭演説,*,*
