郡山,名詞,固有名詞,人名,姓,郡山,*,*
から,助詞,格助詞,一般,*,から,*,*
東京駅,名詞,複合,*,*,東京駅,*,*
まで,助詞,副助詞,*,*,まで,*,*
移動中,名詞,複合,*,*,移動中,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
アイス,名詞,一般,*,*,アイス,*,*
を,助詞,格助詞,一般,*,を,*,*
食べ,動詞,自立,*,*,食べる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
ホッ,副詞,助詞類接続,*,*,ホッ,*,*
と,助詞,副詞化,*,*,と,*,*
一息,名詞,一般,*,*,一息,*,*
寒い,形容詞,自立,*,*,寒い,形容詞・アウオ段,基本形
時期,名詞,副詞可能,*,*,時期,*,*
に,助詞,格助詞,一般,*,に,*,*
食べる,動詞,自立,*,*,食べる,一段,基本形
アイス,名詞,一般,*,*,アイス,*,*
って,助詞,格助詞,連語,*,って,*,*
いい,形容詞,自立,*,*,いい,形容詞・イイ,基本形
です,助動詞,*,*,*,です,特殊・デス,基本形
よ,助詞,終助詞,*,*,よ,*,*
ね,助詞,終助詞,*,*,ね,*,*
!kibounotou,名詞,複合,*,*,!kibounotou,*,*
希望,名詞,サ変接続,*,*,希望,*,*
の,助詞,連体化,*,*,の,*,*
党,名詞,一般,*,*,党,*,*
総,接頭詞,名詞接続,*,*,総,*,*
選挙,名詞,サ変接続,*,*,選挙,*,*
小池百合子,名詞,複合,*,*,小池百合子,*,*
日本,名詞,固有名詞,地域,国,日本,*,*
に,助詞,格助詞,一般,*,に,*,*
希望,名詞,サ変接続,*,*,希望,*,*
を,助詞,格助詞,一般,*,を,*,*
