あいにく,副詞,助詞類接続,*,*,あいにく,*,*
の,助詞,連体化,*,*,の,*,*
天気,名詞,一般,*,*,天気,*,*
で,助詞,格助詞,一般,*,で,*,*
は,助詞,係助詞,*,*,は,*,*
ござい,動詞,自立,*,*,ござる,五段・ラ行特殊,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
が,助詞,接続助詞,*,*,が,*,*
本日,名詞,副詞可能,*,*,本日,*,*
は,助詞,係助詞,*,*,は,*,*
選挙,名詞,サ変接続,*,*,選挙,*,*
最終,名詞,一般,*,*,最終,*,*
日,名詞,接尾,一般,*,日,*,*
と,助詞,格助詞,一般,*,と,*,*
なり,動詞,自立,*,*,なる,五段・ラ行,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
たたかう,動詞,自立,*,*,たたかう,五段・ワ行促音便,基本形
庶民,名詞,一般,*,*,庶民,*,*
派,名詞,接尾,一般,*,派,*,*
まつ,名詞,一般,*,*,まつ,*,*
ばら,名詞,一般,*,*,ばら,*,*
仁,名詞,一般,*,*,仁,*,*
の,助詞,連体化,*,*,の,*,*
打ち上げ,動詞,自立,*,*,打ち上げる,一段,連用形
式,名詞,接尾,一般,*,式,*,*
に,助詞,格助詞,一般,*,に,*,*
是非,名詞,サ変接続,*,*,是非,*,*
とも,助詞,副助詞,*,*,とも,*,*
お,接頭詞,名詞接続,*,*,お,*,*
集まり,動詞,自立,*,*,集まる,五段・ラ行,連用形
ください,動詞,非自立,*,*,くださる,五段・ラ行特殊,命令ｉ
!,名詞,サ変接続,*,*,!,*,*
