福島,名詞,固有名詞,地域,一般,福島,*,*
第,接頭詞,数接続,*,*,第,*,*
一原発,名詞,複合,*,*,一原発,*,*
を,助詞,格助詞,一般,*,を,*,*
視察,名詞,サ変接続,*,*,視察,*,*
事故後,名詞,複合,*,*,事故後,*,*
から,助詞,格助詞,一般,*,から,*,*
現在,名詞,副詞可能,*,*,現在,*,*
まで,助詞,副助詞,*,*,まで,*,*
の,助詞,連体化,*,*,の,*,*
状況,名詞,一般,*,*,状況,*,*
を,助詞,格助詞,一般,*,を,*,*
詳細,名詞,形容動詞語幹,*,*,詳細,*,*
に,助詞,副詞化,*,*,に,*,*
説明,名詞,サ変接続,*,*,説明,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
いただき,動詞,非自立,*,*,いただく,五段・カ行イ音便,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
職員,名詞,一般,*,*,職員,*,*
の,助詞,連体化,*,*,の,*,*
皆さん,名詞,一般,*,*,皆さん,*,*
が,助詞,格助詞,一般,*,が,*,*
働く,動詞,自立,*,*,働く,五段・カ行イ音便,基本形
建物,名詞,一般,*,*,建物,*,*
で,助詞,格助詞,一般,*,で,*,*
は,助詞,係助詞,*,*,は,*,*
給食センター,名詞,複合,*,*,給食センター,*,*
が,助詞,格助詞,一般,*,が,*,*
でき,動詞,自立,*,*,できる,一段,連用形
暖かい,形容詞,自立,*,*,暖かい,形容詞・アウオ段,基本形
食事,名詞,サ変接続,*,*,食事,*,*
が,助詞,格助詞,一般,*,が,*,*
とれる,動詞,自立,*,*,とれる,一段,基本形
よう,名詞,非自立,助動詞語幹,*,よう,*,*
に,助詞,格助詞,一般,*,に,*,*
なっ,動詞,自立,*,*,なる,五段・ラ行,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
そう,名詞,接尾,助動詞語幹,*,そう,*,*
また,接続詞,*,*,*,また,*,*
コンビニ,名詞,一般,*,*,コンビニ,*,*
も,助詞,係助詞,*,*,も,*,*
オープン,名詞,サ変接続,*,*,オープン,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
少し,副詞,助詞類接続,*,*,少し,*,*
ずつ,助詞,副助詞,*,*,ずつ,*,*
職員,名詞,一般,*,*,職員,*,*
の,助詞,連体化,*,*,の,*,*
方,名詞,非自立,一般,*,方,*,*
の,助詞,連体化,*,*,の,*,*
職場環境,名詞,複合,*,*,職場環境,*,*
が,助詞,格助詞,一般,*,が,*,*
改善,名詞,サ変接続,*,*,改善,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
つつ,助詞,接続助詞,*,*,つつ,*,*
あ,フィラー,*,*,*,あ,*,*
...,名詞,サ変接続,*,*,...,*,*
