なぜ,副詞,助詞類接続,*,*,なぜ,*,*
希望,名詞,サ変接続,*,*,希望,*,*
の,助詞,連体化,*,*,の,*,*
党,名詞,一般,*,*,党,*,*
は,助詞,係助詞,*,*,は,*,*
平成30年度,名詞,複合,*,*,平成30年度,*,*
総,接頭詞,名詞接続,*,*,総,*,*
予算,名詞,一般,*,*,予算,*,*
関連法案,名詞,複合,*,*,関連法案,*,*
に,助詞,格助詞,一般,*,に,*,*
反対,名詞,サ変接続,*,*,反対,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
の,名詞,非自立,一般,*,の,*,*
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
2月28日,名詞,複合,*,*,2月28日,*,*
の,助詞,連体化,*,*,の,*,*
衆院,名詞,固有名詞,組織,*,衆院,*,*
本,接頭詞,名詞接続,*,*,本,*,*
会議,名詞,サ変接続,*,*,会議,*,*
で,助詞,格助詞,一般,*,で,*,*
後藤議員,名詞,複合,*,*,後藤議員,*,*
津村議員,名詞,複合,*,*,津村議員,*,*
奥野議員,名詞,複合,*,*,奥野議員,*,*
近藤議員,名詞,複合,*,*,近藤議員,*,*
が,助詞,格助詞,一般,*,が,*,*
討論,名詞,サ変接続,*,*,討論,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
