森友,名詞,固有名詞,人名,姓,森友,*,*
学園,名詞,一般,*,*,学園,*,*
:,名詞,サ変接続,*,*,:,*,*
国有,名詞,一般,*,*,国有,*,*
地,名詞,接尾,一般,*,地,*,*
売却,名詞,サ変接続,*,*,売却,*,*
問題,名詞,ナイ形容詞語幹,*,*,問題,*,*
ごみ,名詞,一般,*,*,ごみ,*,*
報告,名詞,サ変接続,*,*,報告,*,*
書,名詞,接尾,一般,*,書,*,*
は,助詞,係助詞,*,*,は,*,*
虚偽,名詞,一般,*,*,虚偽,*,*
業者,名詞,一般,*,*,業者,*,*
証言,名詞,サ変接続,*,*,証言,*,*
書か,動詞,自立,*,*,書く,五段・カ行イ音便,未然形
さ,動詞,接尾,*,*,す,五段・サ行,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
大阪,名詞,固有名詞,地域,一般,大阪,*,*
地検,名詞,一般,*,*,地検,*,*
捜査,名詞,サ変接続,*,*,捜査,*,*
-,名詞,サ変接続,*,*,-,*,*
毎日新聞,名詞,固有名詞,組織,*,毎日新聞,*,*
