ir,名詞,固有名詞,組織,*,ir,*,*
整備,名詞,サ変接続,*,*,整備,*,*
法案,名詞,一般,*,*,法案,*,*
は,助詞,係助詞,*,*,は,*,*
カジノ,名詞,一般,*,*,カジノ,*,*
事業,名詞,一般,*,*,事業,*,*
者,名詞,接尾,一般,*,者,*,*
による,助詞,格助詞,連語,*,による,*,*
金銭,名詞,一般,*,*,金銭,*,*
貸し付け,名詞,一般,*,*,貸し付け,*,*
可,名詞,接尾,一般,*,可,*,*
法,名詞,一般,*,*,法,*,*
制定,名詞,サ変接続,*,*,制定,*,*
後,名詞,接尾,副詞可能,*,後,*,*
に,助詞,格助詞,一般,*,に,*,*
政,名詞,一般,*,*,政,*,*
省令,名詞,一般,*,*,省令,*,*
や,助詞,並立助詞,*,*,や,*,*
カジノ,名詞,一般,*,*,カジノ,*,*
管理,名詞,サ変接続,*,*,管理,*,*
委員,名詞,一般,*,*,委員,*,*
会,名詞,接尾,一般,*,会,*,*
規則,名詞,一般,*,*,規則,*,*
で,助詞,格助詞,一般,*,で,*,*
定める,動詞,自立,*,*,定める,一段,基本形
事項,名詞,一般,*,*,事項,*,*
が,助詞,格助詞,一般,*,が,*,*
331,名詞,数,*,*,331,*,*
項目,名詞,一般,*,*,項目,*,*
も,助詞,係助詞,*,*,も,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
管理,名詞,サ変接続,*,*,管理,*,*
委,名詞,接尾,一般,*,委,*,*
事務,名詞,一般,*,*,事務,*,*
局,名詞,接尾,一般,*,局,*,*
に,助詞,格助詞,一般,*,に,*,*
事業,名詞,一般,*,*,事業,*,*
者,名詞,接尾,一般,*,者,*,*
が,助詞,格助詞,一般,*,が,*,*
入れる,動詞,自立,*,*,入れる,一段,基本形
など,助詞,副助詞,*,*,など,*,*
制度,名詞,一般,*,*,制度,*,*
の,助詞,連体化,*,*,の,*,*
中身,名詞,一般,*,*,中身,*,*
も,助詞,係助詞,*,*,も,*,*
曖昧,名詞,形容動詞語幹,*,*,曖昧,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
規制,名詞,サ変接続,*,*,規制,*,*
は,助詞,係助詞,*,*,は,*,*
緩く,形容詞,自立,*,*,緩い,形容詞・アウオ段,連用テ接続
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
ギャンブル,名詞,一般,*,*,ギャンブル,*,*
依存,名詞,サ変接続,*,*,依存,*,*
症,名詞,接尾,一般,*,症,*,*
や,助詞,並立助詞,*,*,や,*,*
多重,名詞,一般,*,*,多重,*,*
債務,名詞,一般,*,*,債務,*,*
者,名詞,接尾,一般,*,者,*,*
を,助詞,格助詞,一般,*,を,*,*
増加,名詞,サ変接続,*,*,増加,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
せる,動詞,接尾,*,*,せる,一段,基本形
も,助詞,係助詞,*,*,も,*,*
...,名詞,サ変接続,*,*,...,*,*
