自民党,名詞,固有名詞,組織,*,自民党,*,*
の,助詞,連体化,*,*,の,*,*
党利党略,名詞,複合,*,*,党利党略,*,*
の,助詞,連体化,*,*,の,*,*
6増法案,名詞,複合,*,*,6増法案,*,*
の,助詞,連体化,*,*,の,*,*
強行,名詞,サ変接続,*,*,強行,*,*
に,助詞,格助詞,一般,*,に,*,*
強く,形容詞,自立,*,*,強い,形容詞・アウオ段,連用テ接続
抗議,名詞,サ変接続,*,*,抗議,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
(談話)●合区,名詞,複合,*,*,(談話)●合区,*,*
で,助詞,格助詞,一般,*,で,*,*
立候補,名詞,サ変接続,*,*,立候補,*,*
でき,動詞,自立,*,*,できる,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
自民党候補,名詞,複合,*,*,自民党候補,*,*
を,助詞,格助詞,一般,*,を,*,*
特定枠,名詞,複合,*,*,特定枠,*,*
で,助詞,格助詞,一般,*,で,*,*
当選,名詞,サ変接続,*,*,当選,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
せ,動詞,接尾,*,*,せる,一段,連用形
救済,名詞,サ変接続,*,*,救済,*,*
しよ,動詞,自立,*,*,する,サ変・スル,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
という,助詞,格助詞,連語,*,という,*,*
党利党略そのもの,名詞,複合,*,*,党利党略そのもの,*,*
に,助詞,格助詞,一般,*,に,*,*
ほかなら,動詞,自立,*,*,ほかなる,五段・ラ行,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
