日本,名詞,固有名詞,地域,国,日本,*,*
で,助詞,格助詞,一般,*,で,*,*
唯一,名詞,一般,*,*,唯一,*,*
の,助詞,連体化,*,*,の,*,*
社会,名詞,一般,*,*,社会,*,*
民主,名詞,一般,*,*,民主,*,*
主義,名詞,一般,*,*,主義,*,*
を,助詞,格助詞,一般,*,を,*,*
掲げる,動詞,自立,*,*,掲げる,一段,基本形
社会民主党,名詞,一般,*,*,社会民主党,*,*
(,名詞,サ変接続,*,*,(,*,*
党首,名詞,一般,*,*,党首,*,*
討論,名詞,サ変接続,*,*,討論,*,*
で,助詞,格助詞,一般,*,で,*,*
吉田,名詞,固有名詞,人名,姓,吉田,*,*
ただ,名詞,一般,*,*,ただ,*,*
とも,助詞,副助詞,*,*,とも,*,*
党首,名詞,一般,*,*,党首,*,*
),名詞,サ変接続,*,*,),*,*
7,名詞,数,*,*,7,*,*
月,名詞,一般,*,*,月,*,*
10,名詞,数,*,*,10,*,*
日,名詞,接尾,助数詞,*,日,*,*
参議院,名詞,固有名詞,組織,*,参議院,*,*
選挙,名詞,サ変接続,*,*,選挙,*,*
donttrashyourvote,名詞,固有名詞,組織,*,donttrashyourvote,*,*
参院,名詞,固有名詞,組織,*,参院,*,*
選,名詞,接尾,一般,*,選,*,*
