さ,副詞,助詞類接続,*,*,さ,*,*
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
きば,名詞,一般,*,*,きば,*,*
ら,名詞,接尾,一般,*,ら,*,*
登志子,名詞,固有名詞,人名,名,登志子,*,*
調布,名詞,固有名詞,地域,一般,調布,*,*
市議,名詞,一般,*,*,市議,*,*
富裕,名詞,一般,*,*,富裕,*,*
層,名詞,接尾,一般,*,層,*,*
大,接頭詞,名詞接続,*,*,大,*,*
企業,名詞,一般,*,*,企業,*,*
優遇,名詞,サ変接続,*,*,優遇,*,*
の,助詞,連体化,*,*,の,*,*
税制,名詞,一般,*,*,税制,*,*
を,助詞,格助詞,一般,*,を,*,*
変え,動詞,自立,*,*,変える,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
暮らし,名詞,一般,*,*,暮らし,*,*
や,助詞,並立助詞,*,*,や,*,*
社会,名詞,一般,*,*,社会,*,*
保障,名詞,サ変接続,*,*,保障,*,*
へ,助詞,格助詞,一般,*,へ,*,*
の,助詞,連体化,*,*,の,*,*
支援,名詞,サ変接続,*,*,支援,*,*
を,助詞,格助詞,一般,*,を,*,*
手厚く,形容詞,自立,*,*,手厚い,形容詞・アウオ段,連用テ接続
す,動詞,自立,*,*,する,サ変・スル,文語基本形
べき,助動詞,*,*,*,べし,文語・ベシ,体言接続
社民党,名詞,固有名詞,組織,*,社民党,*,*
は,助詞,係助詞,*,*,は,*,*
働く,動詞,自立,*,*,働く,五段・カ行イ音便,基本形
人達,名詞,一般,*,*,人達,*,*
の,助詞,連体化,*,*,の,*,*
ミカタ,名詞,一般,*,*,ミカタ,*,*
だ,助動詞,*,*,*,だ,特殊・ダ,基本形
!」,名詞,サ変接続,*,*,!」,*,*
/,名詞,サ変接続,*,*,/,*,*
増山,名詞,固有名詞,人名,姓,増山,*,*
れ,動詞,接尾,*,*,れる,一段,未然形
な,助動詞,*,*,*,ない,特殊・ナイ,ガル接続
街宣,名詞,一般,*,*,街宣,*,*
三鷹,名詞,固有名詞,地域,一般,三鷹,*,*
駅,名詞,接尾,地域,*,駅,*,*
7,名詞,数,*,*,7,*,*
月,名詞,一般,*,*,月,*,*
10,名詞,数,*,*,10,*,*
日,名詞,接尾,助数詞,*,日,*,*
参議院,名詞,固有名詞,組織,*,参議院,*,*
選挙,名詞,サ変接続,*,*,選挙,*,*
選挙,名詞,サ変接続,*,*,選挙,*,*
に,助詞,格助詞,一般,*,に,*,*
いこ,動詞,自立,*,*,いく,五段・カ行促音便,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
3,名詞,数,*,*,3,*,*
分の,名詞,接尾,助数詞,*,分の,*,*
2,名詞,数,*,*,2,*,*
