バングラデシュ,名詞,固有名詞,地域,国,バングラデシュ,*,*
飲食,名詞,サ変接続,*,*,飲食,*,*
店,名詞,接尾,一般,*,店,*,*
襲撃,名詞,サ変接続,*,*,襲撃,*,*
テロ,名詞,一般,*,*,テロ,*,*
事件,名詞,一般,*,*,事件,*,*
について,助詞,格助詞,連語,*,について,*,*
(,名詞,サ変接続,*,*,(,*,*
吉田,名詞,固有名詞,組織,*,吉田,*,*
ただ,名詞,一般,*,*,ただ,*,*
とも,助詞,副助詞,*,*,とも,*,*
党首,名詞,一般,*,*,党首,*,*
コメント,名詞,サ変接続,*,*,コメント,*,*
),名詞,サ変接続,*,*,),*,*
参院,名詞,固有名詞,組織,*,参院,*,*
選,名詞,接尾,一般,*,選,*,*
3,名詞,数,*,*,3,*,*
分の,名詞,接尾,助数詞,*,分の,*,*
2,名詞,数,*,*,2,*,*
を,助詞,格助詞,一般,*,を,*,*
取らせ,動詞,自立,*,*,取らせる,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
7,名詞,数,*,*,7,*,*
月,名詞,一般,*,*,月,*,*
10,名詞,数,*,*,10,*,*
日,名詞,接尾,助数詞,*,日,*,*
参議院,名詞,固有名詞,組織,*,参議院,*,*
選挙,名詞,サ変接続,*,*,選挙,*,*
選挙,名詞,サ変接続,*,*,選挙,*,*
に,助詞,格助詞,一般,*,に,*,*
行こ,動詞,自立,*,*,行く,五段・カ行促音便,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
