いよいよ,副詞,一般,*,*,いよいよ,*,*
選挙戦最終日,名詞,複合,*,*,選挙戦最終日,*,*
社民党政連カー,名詞,複合,*,*,社民党政連カー,*,*
も,助詞,係助詞,*,*,も,*,*
東京都内,名詞,複合,*,*,東京都内,*,*
を,助詞,格助詞,一般,*,を,*,*
走り,動詞,自立,*,*,走る,五段・ラ行,連用形
まわり,動詞,非自立,*,*,まわる,五段・ラ行,連用形
比例区,名詞,複合,*,*,比例区,*,*
は,助詞,係助詞,*,*,は,*,*
社民党,名詞,固有名詞,組織,*,社民党,*,*
を,助詞,格助詞,一般,*,を,*,*
訴え,動詞,自立,*,*,訴える,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
朝一番,名詞,複合,*,*,朝一番,*,*
は,助詞,係助詞,*,*,は,*,*
池袋駅前,名詞,複合,*,*,池袋駅前,*,*
から,助詞,格助詞,一般,*,から,*,*
スタート,名詞,サ変接続,*,*,スタート,*,*
河野たつお,名詞,複合,*,*,河野たつお,*,*
新宿区議,名詞,複合,*,*,新宿区議,*,*
山口菊子,名詞,複合,*,*,山口菊子,*,*
豊島区議,名詞,複合,*,*,豊島区議,*,*
市来とも子,名詞,複合,*,*,市来とも子,*,*
杉並区議,名詞,複合,*,*,杉並区議,*,*
が,助詞,格助詞,一般,*,が,*,*
乗っ,動詞,自立,*,*,乗る,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
見かけ,動詞,自立,*,*,見かける,一段,連用形
たら,助動詞,*,*,*,た,特殊・タ,仮定形
ご,接頭詞,名詞接続,*,*,ご,*,*
声援,名詞,サ変接続,*,*,声援,*,*
を,助詞,格助詞,一般,*,を,*,*
お願い,名詞,サ変接続,*,*,お願い,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
