出演,名詞,サ変接続,*,*,出演,*,*
情報,名詞,一般,*,*,情報,*,*
21,名詞,数,*,*,21,*,*
:,名詞,サ変接続,*,*,:,*,*
48,名詞,数,*,*,48,*,*
iwj,名詞,一般,*,*,iwj,*,*
(,名詞,サ変接続,*,*,(,*,*
吉田,名詞,固有名詞,組織,*,吉田,*,*
),名詞,サ変接続,*,*,),*,*
22,名詞,数,*,*,22,*,*
:,名詞,サ変接続,*,*,:,*,*
35,名詞,数,*,*,35,*,*
テレ,名詞,固有名詞,人名,名,テレ,*,*
東,名詞,一般,*,*,東,*,*
(,名詞,サ変接続,*,*,(,*,*
福島,名詞,固有名詞,地域,一般,福島,*,*
),名詞,サ変接続,*,*,),*,*
22,名詞,数,*,*,22,*,*
:,名詞,サ変接続,*,*,:,*,*
50,名詞,数,*,*,50,*,*
ニコ,名詞,一般,*,*,ニコ,*,*
生,名詞,接尾,一般,*,生,*,*
(,名詞,サ変接続,*,*,(,*,*
吉田,名詞,固有名詞,組織,*,吉田,*,*
),名詞,サ変接続,*,*,),*,*
23,名詞,数,*,*,23,*,*
:,名詞,サ変接続,*,*,:,*,*
20,名詞,数,*,*,20,*,*
フジ,名詞,固有名詞,組織,*,フジ,*,*
(,名詞,サ変接続,*,*,(,*,*
福島,名詞,固有名詞,地域,一般,福島,*,*
),名詞,サ変接続,*,*,),*,*
23,名詞,数,*,*,23,*,*
:,名詞,サ変接続,*,*,:,*,*
33,名詞,数,*,*,33,*,*
nhk,名詞,一般,*,*,nhk,*,*
(,名詞,サ変接続,*,*,(,*,*
吉田,名詞,固有名詞,組織,*,吉田,*,*
),名詞,サ変接続,*,*,),*,*
23,名詞,数,*,*,23,*,*
:,名詞,サ変接続,*,*,:,*,*
40,名詞,数,*,*,40,*,*
tbs,名詞,一般,*,*,tbs,*,*
(,名詞,サ変接続,*,*,(,*,*
福島,名詞,固有名詞,地域,一般,福島,*,*
),名詞,サ変接続,*,*,),*,*
23,名詞,数,*,*,23,*,*
:,名詞,サ変接続,*,*,:,*,*
51,名詞,数,*,*,51,*,*
ニッポン放送,名詞,固有名詞,組織,*,ニッポン放送,*,*
(,名詞,サ変接続,*,*,(,*,*
吉田,名詞,固有名詞,組織,*,吉田,*,*
),名詞,サ変接続,*,*,),*,*
23,名詞,数,*,*,23,*,*
:,名詞,サ変接続,*,*,:,*,*
55,名詞,数,*,*,55,*,*
テレ朝,名詞,固有名詞,組織,*,テレ朝,*,*
(,名詞,サ変接続,*,*,(,*,*
福島,名詞,固有名詞,地域,一般,福島,*,*
),名詞,サ変接続,*,*,),*,*
24,名詞,数,*,*,24,*,*
:,名詞,サ変接続,*,*,:,*,*
06,名詞,数,*,*,06,*,*
tbs,名詞,一般,*,*,tbs,*,*
ラジオ,名詞,一般,*,*,ラジオ,*,*
(,名詞,サ変接続,*,*,(,*,*
吉田,名詞,固有名詞,組織,*,吉田,*,*
),名詞,サ変接続,*,*,),*,*
24,名詞,数,*,*,24,*,*
:,名詞,サ変接続,*,*,:,*,*
30,名詞,数,*,*,30,*,*
tbs,名詞,一般,*,*,tbs,*,*
(,名詞,サ変接続,*,*,(,*,*
福島,名詞,固有名詞,地域,一般,福島,*,*
),名詞,サ変接続,*,*,),*,*
