アントニオ,名詞,固有名詞,人名,名,アントニオ,*,*
グテレス氏,名詞,複合,*,*,グテレス氏,*,*
の,助詞,連体化,*,*,の,*,*
次期国連事務総長,名詞,複合,*,*,次期国連事務総長,*,*
へ,助詞,格助詞,一般,*,へ,*,*
の,助詞,連体化,*,*,の,*,*
就任,名詞,サ変接続,*,*,就任,*,*
を,助詞,格助詞,一般,*,を,*,*
歓迎,名詞,サ変接続,*,*,歓迎,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
日本,名詞,固有名詞,地域,国,日本,*,*
の,助詞,連体化,*,*,の,*,*
政党,名詞,一般,*,*,政党,*,*
で,助詞,格助詞,一般,*,で,*,*
唯一,名詞,一般,*,*,唯一,*,*
社民党,名詞,固有名詞,組織,*,社民党,*,*
が,助詞,格助詞,一般,*,が,*,*
加盟,名詞,サ変接続,*,*,加盟,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
社会主義インター,名詞,複合,*,*,社会主義インター,*,*
の,助詞,連体化,*,*,の,*,*
友党,名詞,複合,*,*,友党,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
ある,助動詞,*,*,*,ある,五段・ラ行アル,基本形
ポルトガル社会党,名詞,複合,*,*,ポルトガル社会党,*,*
の,助詞,連体化,*,*,の,*,*
出身,名詞,一般,*,*,出身,*,*
故,接頭詞,名詞接続,*,*,故,*,*
土井たか子名誉党首,名詞,複合,*,*,土井たか子名誉党首,*,*
が,助詞,格助詞,一般,*,が,*,*
副,接頭詞,名詞接続,*,*,副,*,*
議長時代,名詞,複合,*,*,議長時代,*,*
に,助詞,格助詞,一般,*,に,*,*
親交(吉田ただ,名詞,複合,*,*,親交(吉田ただ,*,*
とも,助詞,副助詞,*,*,とも,*,*
党首),名詞,複合,*,*,党首),*,*
国連,名詞,固有名詞,組織,*,国連,*,*
社民主義,名詞,複合,*,*,社民主義,*,*
