そう,副詞,助詞類接続,*,*,そう,*,*
だっ,助動詞,*,*,*,だ,特殊・ダ,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
の,名詞,非自立,一般,*,の,*,*
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
!,名詞,サ変接続,*,*,!,*,*
tpp,名詞,固有名詞,組織,*,tpp,*,*
q,名詞,固有名詞,組織,*,q,*,*
&,名詞,サ変接続,*,*,&,*,*
amp,名詞,一般,*,*,amp,*,*
;,名詞,サ変接続,*,*,;,*,*
a,名詞,固有名詞,組織,*,a,*,*
ブックレット,名詞,一般,*,*,ブックレット,*,*
(,名詞,サ変接続,*,*,(,*,*
編集,名詞,サ変接続,*,*,編集,*,*
発行,名詞,サ変接続,*,*,発行,*,*
:,名詞,サ変接続,*,*,:,*,*
tpp,名詞,一般,*,*,tpp,*,*
テキスト,名詞,一般,*,*,テキスト,*,*
分析,名詞,サ変接続,*,*,分析,*,*
チーム,名詞,一般,*,*,チーム,*,*
_,名詞,サ変接続,*,*,_,*,*
analysis,名詞,固有名詞,組織,*,analysis,*,*
),名詞,サ変接続,*,*,),*,*
