熊本,名詞,固有名詞,地域,一般,熊本,*,*
大分,名詞,固有名詞,地域,一般,大分,*,*
大,接頭詞,名詞接続,*,*,大,*,*
地震,名詞,一般,*,*,地震,*,*
から,助詞,格助詞,一般,*,から,*,*
約,接頭詞,数接続,*,*,約,*,*
8,名詞,数,*,*,8,*,*
か月,名詞,接尾,助数詞,*,か月,*,*
が,助詞,格助詞,一般,*,が,*,*
経つ,動詞,自立,*,*,経つ,五段・タ行,基本形
こと,名詞,非自立,一般,*,こと,*,*
を,助詞,格助詞,一般,*,を,*,*
受け,動詞,自立,*,*,受ける,一段,連用形
党,名詞,一般,*,*,党,*,*
熊本,名詞,固有名詞,地域,一般,熊本,*,*
大分,名詞,固有名詞,地域,一般,大分,*,*
大,接頭詞,名詞接続,*,*,大,*,*
地震,名詞,一般,*,*,地震,*,*
災害,名詞,一般,*,*,災害,*,*
対策,名詞,サ変接続,*,*,対策,*,*
本部,名詞,一般,*,*,本部,*,*
(,名詞,サ変接続,*,*,(,*,*
吉田,名詞,固有名詞,組織,*,吉田,*,*
ただ,名詞,一般,*,*,ただ,*,*
とも,助詞,副助詞,*,*,とも,*,*
本部,名詞,一般,*,*,本部,*,*
長,名詞,接尾,一般,*,長,*,*
),名詞,サ変接続,*,*,),*,*
は,助詞,係助詞,*,*,は,*,*
本日,名詞,副詞可能,*,*,本日,*,*
関係,名詞,サ変接続,*,*,関係,*,*
省庁,名詞,一般,*,*,省庁,*,*
に対し,助詞,格助詞,連語,*,に対し,*,*
1,名詞,数,*,*,1,*,*
被災,名詞,サ変接続,*,*,被災,*,*
自治体,名詞,一般,*,*,自治体,*,*
の,助詞,連体化,*,*,の,*,*
財源,名詞,一般,*,*,財源,*,*
と,助詞,並立助詞,*,*,と,*,*
人材,名詞,一般,*,*,人材,*,*
の,助詞,連体化,*,*,の,*,*
確保,名詞,サ変接続,*,*,確保,*,*
2,名詞,数,*,*,2,*,*
メンタルヘルス,名詞,一般,*,*,メンタルヘルス,*,*
対策,名詞,サ変接続,*,*,対策,*,*
3,名詞,数,*,*,3,*,*
復旧,名詞,サ変接続,*,*,復旧,*,*
事業,名詞,一般,*,*,事業,*,*
の,助詞,連体化,*,*,の,*,*
期間,名詞,一般,*,*,期間,*,*
延長,名詞,サ変接続,*,*,延長,*,*
と,助詞,並立助詞,*,*,と,*,*
窓口,名詞,一般,*,*,窓口,*,*
の,助詞,連体化,*,*,の,*,*
一,名詞,数,*,*,一,*,*
本,名詞,接尾,助数詞,*,本,*,*
化,名詞,接尾,サ変接続,*,化,*,*
4,名詞,数,*,*,4,*,*
来年度,名詞,副詞可能,*,*,来年度,*,*
以降,名詞,副詞可能,*,*,以降,*,*
の,助詞,連体化,*,*,の,*,*
財政,名詞,一般,*,*,財政,*,*
支援,名詞,サ変接続,*,*,支援,*,*
...,名詞,サ変接続,*,*,...,*,*
