衆,名詞,固有名詞,人名,名,衆,*,*
本,接頭詞,名詞接続,*,*,本,*,*
会議,名詞,サ変接続,*,*,会議,*,*
先ほど民進,名詞,複合,*,*,先ほど民進,*,*
共産,名詞,固有名詞,組織,*,共産,*,*
自由,名詞,形容動詞語幹,*,*,自由,*,*
社民,名詞,固有名詞,組織,*,社民,*,*
の,助詞,連体化,*,*,の,*,*
野党4党,名詞,複合,*,*,野党4党,*,*
で,助詞,格助詞,一般,*,で,*,*
内閣不信任決議案,名詞,複合,*,*,内閣不信任決議案,*,*
を,助詞,格助詞,一般,*,を,*,*
衆院,名詞,固有名詞,組織,*,衆院,*,*
に,助詞,格助詞,一般,*,に,*,*
共同提出,名詞,複合,*,*,共同提出,*,*
衆議院,名詞,固有名詞,組織,*,衆議院,*,*
本,接頭詞,名詞接続,*,*,本,*,*
会議,名詞,サ変接続,*,*,会議,*,*
は,助詞,係助詞,*,*,は,*,*
pm10時,名詞,複合,*,*,pm10時,*,*
より,助詞,格助詞,一般,*,より,*,*
開会,名詞,サ変接続,*,*,開会,*,*
の,助詞,連体化,*,*,の,*,*
見通し,名詞,一般,*,*,見通し,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
国会,名詞,一般,*,*,国会,*,*
国会,名詞,一般,*,*,国会,*,*
を,助詞,格助詞,一般,*,を,*,*
見よ,動詞,自立,*,*,見る,一段,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
国会中継,名詞,複合,*,*,国会中継,*,*
