安倍,名詞,固有名詞,人名,姓,安倍,*,*
首相,名詞,一般,*,*,首相,*,*
の,助詞,連体化,*,*,の,*,*
真珠湾,名詞,固有名詞,地域,一般,真珠湾,*,*
訪問,名詞,サ変接続,*,*,訪問,*,*
について,助詞,格助詞,連語,*,について,*,*
(,名詞,サ変接続,*,*,(,*,*
談話,名詞,サ変接続,*,*,談話,*,*
),名詞,サ変接続,*,*,),*,*
和解,名詞,サ変接続,*,*,和解,*,*
という,助詞,格助詞,連語,*,という,*,*
の,名詞,非自立,一般,*,の,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
あれ,助動詞,*,*,*,ある,五段・ラ行アル,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
アジア,名詞,固有名詞,地域,一般,アジア,*,*
の,助詞,連体化,*,*,の,*,*
人々,名詞,一般,*,*,人々,*,*
に対し,助詞,格助詞,連語,*,に対し,*,*
堪え,動詞,自立,*,*,堪える,一段,連用形
難い,形容詞,非自立,*,*,難い,形容詞・アウオ段,基本形
犠牲,名詞,一般,*,*,犠牲,*,*
と,助詞,並立助詞,*,*,と,*,*
苦痛,名詞,一般,*,*,苦痛,*,*
を,助詞,格助詞,一般,*,を,*,*
与え,動詞,自立,*,*,与える,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
こと,名詞,非自立,一般,*,こと,*,*
を,助詞,格助詞,一般,*,を,*,*
忘れ,動詞,自立,*,*,忘れる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
は,助詞,係助詞,*,*,は,*,*
なら,動詞,非自立,*,*,なる,五段・ラ行,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
沖縄,名詞,固有名詞,地域,一般,沖縄,*,*
の,助詞,連体化,*,*,の,*,*
疎開,名詞,サ変接続,*,*,疎開,*,*
児童,名詞,一般,*,*,児童,*,*
ら,名詞,接尾,一般,*,ら,*,*
が,助詞,格助詞,一般,*,が,*,*
犠牲,名詞,一般,*,*,犠牲,*,*
と,助詞,格助詞,一般,*,と,*,*
なっ,動詞,自立,*,*,なる,五段・ラ行,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
対馬,名詞,固有名詞,地域,一般,対馬,*,*
丸,名詞,一般,*,*,丸,*,*
事件,名詞,一般,*,*,事件,*,*
に,助詞,格助詞,一般,*,に,*,*
も,助詞,係助詞,*,*,も,*,*
思い,名詞,一般,*,*,思い,*,*
を,助詞,格助詞,一般,*,を,*,*
はせる,動詞,自立,*,*,はせる,一段,基本形
べき,助動詞,*,*,*,べし,文語・ベシ,体言接続
で,助動詞,*,*,*,だ,特殊・ダ,連用形
ある,助動詞,*,*,*,ある,五段・ラ行アル,基本形
...,名詞,サ変接続,*,*,...,*,*
