米国,名詞,固有名詞,地域,国,米国,*,*
に,助詞,格助詞,一般,*,に,*,*
ノー,名詞,一般,*,*,ノー,*,*
と,助詞,格助詞,引用,*,と,*,*
言え,動詞,自立,*,*,言える,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
日本政府,名詞,複合,*,*,日本政府,*,*
オスプレイ空中給油訓練再開,名詞,複合,*,*,オスプレイ空中給油訓練再開,*,*
に,助詞,格助詞,一般,*,に,*,*
怒り,名詞,一般,*,*,怒り,*,*
の,助詞,連体化,*,*,の,*,*
沖縄(照屋寛徳,名詞,複合,*,*,沖縄(照屋寛徳,*,*
の,助詞,連体化,*,*,の,*,*
ブログ)●憲法,名詞,複合,*,*,ブログ)●憲法,*,*
が,助詞,格助詞,一般,*,が,*,*
保障,名詞,サ変接続,*,*,保障,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
平和的生存権,名詞,複合,*,*,平和的生存権,*,*
幸福追求,名詞,複合,*,*,幸福追求,*,*
の,助詞,連体化,*,*,の,*,*
権利,名詞,一般,*,*,権利,*,*
が,助詞,格助詞,一般,*,が,*,*
ウチナーンチュ,名詞,一般,*,*,ウチナーンチュ,*,*
に,助詞,格助詞,一般,*,に,*,*
認め,動詞,自立,*,*,認める,一段,未然形
られ,動詞,接尾,*,*,られる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
沖縄...,名詞,複合,*,*,沖縄...,*,*
