まもなく,副詞,助詞類接続,*,*,まもなく,*,*
(,名詞,サ変接続,*,*,(,*,*
18,名詞,数,*,*,18,*,*
:,名詞,サ変接続,*,*,:,*,*
00,名詞,数,*,*,00,*,*
~),名詞,サ変接続,*,*,~),*,*
ニコ,名詞,一般,*,*,ニコ,*,*
生,名詞,接尾,一般,*,生,*,*
はじまり,動詞,自立,*,*,はじまる,五段・ラ行,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
出演,名詞,サ変接続,*,*,出演,*,*
者,名詞,接尾,一般,*,者,*,*
(,名詞,サ変接続,*,*,(,*,*
吉田,名詞,固有名詞,組織,*,吉田,*,*
党首,名詞,一般,*,*,党首,*,*
山,名詞,一般,*,*,山,*,*
登志,名詞,固有名詞,人名,名,登志,*,*
浩,名詞,固有名詞,人名,名,浩,*,*
榊原,名詞,固有名詞,人名,姓,榊原,*,*
登志子,名詞,固有名詞,人名,名,登志子,*,*
),名詞,サ変接続,*,*,),*,*
が,助詞,格助詞,一般,*,が,*,*
スタンバイ,名詞,一般,*,*,スタンバイ,*,*
中,名詞,接尾,副詞可能,*,中,*,*
!【,名詞,サ変接続,*,*,!【,*,*
吉田,名詞,固有名詞,人名,姓,吉田,*,*
忠,名詞,固有名詞,人名,名,忠,*,*
智,名詞,固有名詞,人名,名,智,*,*
党首,名詞,一般,*,*,党首,*,*
生,名詞,接尾,一般,*,生,*,*
出演,名詞,サ変接続,*,*,出演,*,*
社民党,名詞,固有名詞,組織,*,社民党,*,*
2017,名詞,数,*,*,2017,*,*
年,名詞,接尾,助数詞,*,年,*,*
国民,名詞,一般,*,*,国民,*,*
と,助詞,格助詞,一般,*,と,*,*
の,助詞,連体化,*,*,の,*,*
約束,名詞,サ変接続,*,*,約束,*,*
...,名詞,サ変接続,*,*,...,*,*
nicohou,名詞,固有名詞,組織,*,nicohou,*,*
...,名詞,サ変接続,*,*,...,*,*
