辺野古,名詞,固有名詞,地域,一般,辺野古,*,*
新,接頭詞,名詞接続,*,*,新,*,*
基地建設,名詞,複合,*,*,基地建設,*,*
に,助詞,格助詞,一般,*,に,*,*
向け,動詞,自立,*,*,向ける,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
海上,名詞,一般,*,*,海上,*,*
で,助詞,格助詞,一般,*,で,*,*
の,助詞,連体化,*,*,の,*,*
埋め立て本体工事,名詞,複合,*,*,埋め立て本体工事,*,*
の,助詞,連体化,*,*,の,*,*
強行,名詞,サ変接続,*,*,強行,*,*
に,助詞,格助詞,一般,*,に,*,*
断固,副詞,一般,*,*,断固,*,*
抗議,名詞,サ変接続,*,*,抗議,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
(談話)●10日,名詞,複合,*,*,(談話)●10日,*,*
に,助詞,格助詞,一般,*,に,*,*
トランプ,名詞,一般,*,*,トランプ,*,*
新,接頭詞,名詞接続,*,*,新,*,*
大統領,名詞,一般,*,*,大統領,*,*
と,助詞,並立助詞,*,*,と,*,*
初,名詞,一般,*,*,初,*,*
の,助詞,連体化,*,*,の,*,*
日米首脳会談,名詞,複合,*,*,日米首脳会談,*,*
が,助詞,格助詞,一般,*,が,*,*
予定,名詞,サ変接続,*,*,予定,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
が,助詞,接続助詞,*,*,が,*,*
本日,名詞,副詞可能,*,*,本日,*,*
の,助詞,連体化,*,*,の,*,*
辺野古海上工事強行,名詞,複合,*,*,辺野古海上工事強行,*,*
が,助詞,格助詞,一般,*,が,*,*
トランプ大統領,名詞,複合,*,*,トランプ大統領,*,*
に,助詞,格助詞,一般,*,に,*,*
こび,動詞,自立,*,*,こびる,一段,連用形
を,助詞,格助詞,一般,*,を,*,*
売る,動詞,自立,*,*,売る,五段・ラ行,基本形
ため,名詞,非自立,副詞可能,*,ため,*,*
の,助詞,連体化,*,*,の,*,*
手土産,名詞,一般,*,*,手土産,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
ある,助動詞,*,*,*,ある,五段・ラ行アル,基本形
と,助詞,格助詞,引用,*,と,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
たら,助動詞,*,*,*,た,特殊・タ,仮定形
これ,名詞,代名詞,一般,*,これ,*,*
ほど,助詞,副助詞,*,*,ほど,*,*
...,名詞,サ変接続,*,*,...,*,*
