シュワブゲート,名詞,固有名詞,組織,*,シュワブゲート,*,*
前,接頭詞,名詞接続,*,*,前,*,*
座り込み1,000日,名詞,複合,*,*,座り込み1,000日,*,*
を,助詞,格助詞,一般,*,を,*,*
超え,動詞,自立,*,*,超える,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
(照屋寛徳,名詞,複合,*,*,(照屋寛徳,*,*
沖縄2区,名詞,複合,*,*,沖縄2区,*,*
の,助詞,連体化,*,*,の,*,*
ブログ)●安倍政権,名詞,複合,*,*,ブログ)●安倍政権,*,*
は,助詞,係助詞,*,*,は,*,*
翁長知事,名詞,複合,*,*,翁長知事,*,*
の,助詞,連体化,*,*,の,*,*
埋め立て承認,名詞,複合,*,*,埋め立て承認,*,*
撤回,名詞,サ変接続,*,*,撤回,*,*
表明,名詞,サ変接続,*,*,表明,*,*
を,助詞,格助詞,一般,*,を,*,*
受け,動詞,自立,*,*,受ける,一段,連用形
損害賠償請求,名詞,複合,*,*,損害賠償請求,*,*
を,助詞,格助詞,一般,*,を,*,*
ちらつか,動詞,自立,*,*,ちらつく,五段・カ行イ音便,未然形
せる,動詞,接尾,*,*,せる,一段,基本形
恫喝,名詞,サ変接続,*,*,恫喝,*,*
に,助詞,格助詞,一般,*,に,*,*
出,動詞,自立,*,*,出る,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
そんな,連体詞,*,*,*,そんな,*,*
見え透い,動詞,自立,*,*,見え透く,五段・カ行イ音便,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
脅し,動詞,自立,*,*,脅す,五段・サ行,連用形
に,助詞,格助詞,一般,*,に,*,*
屈する,動詞,自立,*,*,屈する,サ変・−スル,基本形
もの,名詞,非自立,一般,*,もの,*,*
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
!...,名詞,サ変接続,*,*,!...,*,*
