稲田,名詞,固有名詞,人名,姓,稲田,*,*
防衛,名詞,サ変接続,*,*,防衛,*,*
相,名詞,接尾,一般,*,相,*,*
の,助詞,連体化,*,*,の,*,*
自衛隊,名詞,固有名詞,組織,*,自衛隊,*,*
の,助詞,連体化,*,*,の,*,*
政治,名詞,一般,*,*,政治,*,*
利用,名詞,サ変接続,*,*,利用,*,*
発言,名詞,サ変接続,*,*,発言,*,*
について,助詞,格助詞,連語,*,について,*,*
公選法,名詞,一般,*,*,公選法,*,*
136,名詞,数,*,*,136,*,*
条,名詞,接尾,助数詞,*,条,*,*
2,名詞,数,*,*,2,*,*
の,助詞,連体化,*,*,の,*,*
公務員,名詞,一般,*,*,公務員,*,*
の,助詞,連体化,*,*,の,*,*
地位,名詞,一般,*,*,地位,*,*
利用,名詞,サ変接続,*,*,利用,*,*
禁止,名詞,サ変接続,*,*,禁止,*,*
の,助詞,連体化,*,*,の,*,*
趣旨,名詞,一般,*,*,趣旨,*,*
に,助詞,格助詞,一般,*,に,*,*
抵触,名詞,サ変接続,*,*,抵触,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
問題,名詞,ナイ形容詞語幹,*,*,問題,*,*
発言,名詞,サ変接続,*,*,発言,*,*
自衛隊,名詞,固有名詞,組織,*,自衛隊,*,*
法,名詞,接尾,一般,*,法,*,*
61,名詞,数,*,*,61,*,*
条,名詞,接尾,助数詞,*,条,*,*
で,助詞,格助詞,一般,*,で,*,*
制限,名詞,サ変接続,*,*,制限,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れる,動詞,接尾,*,*,れる,一段,基本形
自衛隊,名詞,固有名詞,組織,*,自衛隊,*,*
員,名詞,接尾,一般,*,員,*,*
の,助詞,連体化,*,*,の,*,*
政治,名詞,一般,*,*,政治,*,*
的,名詞,接尾,形容動詞語幹,*,的,*,*
行為,名詞,サ変接続,*,*,行為,*,*
を,助詞,格助詞,一般,*,を,*,*
呼びかけ,動詞,自立,*,*,呼びかける,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
と,助詞,格助詞,引用,*,と,*,*
すれ,動詞,自立,*,*,する,サ変・スル,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
看過,名詞,サ変接続,*,*,看過,*,*
でき,動詞,自立,*,*,できる,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
防衛,名詞,サ変接続,*,*,防衛,*,*
大臣,名詞,一般,*,*,大臣,*,*
による,助詞,格助詞,連語,*,による,*,*
防衛,名詞,サ変接続,*,*,防衛,*,*
省,名詞,接尾,一般,*,省,*,*
自衛隊,名詞,固有名詞,組織,*,自衛隊,*,*
の,助詞,連体化,*,*,の,*,*
私物,名詞,一般,*,*,私物,*,*
化,名詞,接尾,サ変接続,*,化,*,*
即刻,名詞,副詞可能,*,*,即刻,*,*
...,名詞,サ変接続,*,*,...,*,*
