社民,名詞,固有名詞,組織,*,社民,*,*
衆院選公約,名詞,複合,*,*,衆院選公約,*,*
に,助詞,格助詞,一般,*,に,*,*
憲法,名詞,一般,*,*,憲法,*,*
の,助詞,連体化,*,*,の,*,*
理念,名詞,一般,*,*,理念,*,*
いかし,動詞,自立,*,*,いかす,五段・サ行,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
政策提起,名詞,複合,*,*,政策提起,*,*
|,名詞,サ変接続,*,*,|,*,*
nhkニュース,名詞,複合,*,*,nhkニュース,*,*
安全保障関連法,名詞,複合,*,*,安全保障関連法,*,*
は,助詞,係助詞,*,*,は,*,*
廃止,名詞,サ変接続,*,*,廃止,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
憲法,名詞,一般,*,*,憲法,*,*
の,助詞,連体化,*,*,の,*,*
理念,名詞,一般,*,*,理念,*,*
に,助詞,格助詞,一般,*,に,*,*
基づく,動詞,自立,*,*,基づく,五段・カ行イ音便,基本形
平和創造基本法,名詞,複合,*,*,平和創造基本法,*,*
を,助詞,格助詞,一般,*,を,*,*
制定,名詞,サ変接続,*,*,制定,*,*
