社民党,名詞,固有名詞,組織,*,社民党,*,*
が,助詞,格助詞,一般,*,が,*,*
公約発表,名詞,複合,*,*,公約発表,*,*
改憲,名詞,一般,*,*,改憲,*,*
増税,名詞,サ変接続,*,*,増税,*,*
に,助詞,格助詞,一般,*,に,*,*
反対:日本経済新聞,名詞,複合,*,*,反対:日本経済新聞,*,*
消費増税,名詞,複合,*,*,消費増税,*,*
の,助詞,連体化,*,*,の,*,*
代替財源,名詞,複合,*,*,代替財源,*,*
に,助詞,格助詞,一般,*,に,*,*
大,接頭詞,名詞接続,*,*,大,*,*
企業,名詞,一般,*,*,企業,*,*
の,助詞,連体化,*,*,の,*,*
法人課税,名詞,複合,*,*,法人課税,*,*
や,助詞,並立助詞,*,*,や,*,*
所得税,名詞,複合,*,*,所得税,*,*
の,助詞,連体化,*,*,の,*,*
最高税率,名詞,複合,*,*,最高税率,*,*
の,助詞,連体化,*,*,の,*,*
引き上げ,名詞,サ変接続,*,*,引き上げ,*,*
など,助詞,副助詞,*,*,など,*,*
最低賃金1000円以上,名詞,複合,*,*,最低賃金1000円以上,*,*
の,助詞,連体化,*,*,の,*,*
実現,名詞,サ変接続,*,*,実現,*,*
1500円,名詞,複合,*,*,1500円,*,*
を,助詞,格助詞,一般,*,を,*,*
目指す,動詞,自立,*,*,目指す,五段・サ行,基本形
