又,接続詞,*,*,*,又,*,*
市,名詞,一般,*,*,市,*,*
征,名詞,サ変接続,*,*,征,*,*
治,名詞,サ変接続,*,*,治,*,*
幹事,名詞,一般,*,*,幹事,*,*
長,名詞,接尾,一般,*,長,*,*
10,名詞,数,*,*,10,*,*
月,名詞,一般,*,*,月,*,*
21,名詞,数,*,*,21,*,*
日,名詞,接尾,助数詞,*,日,*,*
(,名詞,サ変接続,*,*,(,*,*
土,名詞,接尾,一般,*,土,*,*
),名詞,サ変接続,*,*,),*,*
の,助詞,連体化,*,*,の,*,*
遊説,名詞,サ変接続,*,*,遊説,*,*
日程,名詞,一般,*,*,日程,*,*
2,名詞,数,*,*,2,*,*
2,名詞,数,*,*,2,*,*
小糸,名詞,固有名詞,地域,一般,小糸,*,*
けんす,動詞,自立,*,*,けんする,サ変・−スル,文語基本形
け,助詞,終助詞,*,*,け,*,*
(,名詞,サ変接続,*,*,(,*,*
東京,名詞,固有名詞,地域,一般,東京,*,*
21,名詞,数,*,*,21,*,*
区,名詞,接尾,助数詞,*,区,*,*
),名詞,サ変接続,*,*,),*,*
応援,名詞,サ変接続,*,*,応援,*,*
16,名詞,数,*,*,16,*,*
:,名詞,サ変接続,*,*,:,*,*
30,名詞,数,*,*,30,*,*
-,名詞,サ変接続,*,*,-,*,*
jr,名詞,固有名詞,組織,*,jr,*,*
立川,名詞,固有名詞,地域,一般,立川,*,*
駅,名詞,接尾,地域,*,駅,*,*
北口,名詞,固有名詞,地域,一般,北口,*,*
18,名詞,数,*,*,18,*,*
:,名詞,サ変接続,*,*,:,*,*
00,名詞,数,*,*,00,*,*
-,名詞,サ変接続,*,*,-,*,*
jr,名詞,固有名詞,組織,*,jr,*,*
国立,名詞,一般,*,*,国立,*,*
駅,名詞,接尾,地域,*,駅,*,*
南口,名詞,固有名詞,地域,一般,南口,*,*
東京,名詞,固有名詞,地域,一般,東京,*,*
八王子,名詞,固有名詞,地域,一般,八王子,*,*
立川,名詞,固有名詞,組織,*,立川,*,*
日野,名詞,固有名詞,地域,一般,日野,*,*
国立,名詞,一般,*,*,国立,*,*
多摩,名詞,固有名詞,地域,一般,多摩,*,*
市,名詞,接尾,地域,*,市,*,*
稲城,名詞,固有名詞,地域,一般,稲城,*,*
衆院,名詞,固有名詞,組織,*,衆院,*,*
選,名詞,接尾,一般,*,選,*,*
...,名詞,サ変接続,*,*,...,*,*
