これから,副詞,助詞類接続,*,*,これから,*,*
の,助詞,連体化,*,*,の,*,*
社民党,名詞,固有名詞,組織,*,社民党,*,*
辛,名詞,一般,*,*,辛,*,*
淑,名詞,固有名詞,人名,名,淑,*,*
玉,名詞,接尾,一般,*,玉,*,*
さん,名詞,接尾,人名,*,さん,*,*
中野,名詞,固有名詞,人名,姓,中野,*,*
晃一,名詞,固有名詞,人名,名,晃一,*,*
さん,名詞,接尾,人名,*,さん,*,*
小原,名詞,固有名詞,人名,姓,小原,*,*
隆治,名詞,固有名詞,人名,名,隆治,*,*
さん,名詞,接尾,人名,*,さん,*,*
と,助詞,格助詞,一般,*,と,*,*
トーク,名詞,一般,*,*,トーク,*,*
セッション,名詞,一般,*,*,セッション,*,*
なう,形容詞,自立,*,*,ない,形容詞・アウオ段,連用ゴザイ接続
ただ,名詞,一般,*,*,ただ,*,*
とも,助詞,副助詞,*,*,とも,*,*
聞き役,名詞,一般,*,*,聞き役,*,*
ミズポタン,名詞,一般,*,*,ミズポタン,*,*
聞き役,名詞,一般,*,*,聞き役,*,*
社民,名詞,固有名詞,組織,*,社民,*,*
フェス,名詞,一般,*,*,フェス,*,*
