米,名詞,固有名詞,地域,国,米,*,*
軍,名詞,接尾,一般,*,軍,*,*
大型,名詞,一般,*,*,大型,*,*
輸送,名詞,サ変接続,*,*,輸送,*,*
ヘリ,名詞,一般,*,*,ヘリ,*,*
の,助詞,連体化,*,*,の,*,*
部品,名詞,一般,*,*,部品,*,*
落下,名詞,サ変接続,*,*,落下,*,*
事故,名詞,一般,*,*,事故,*,*
について,助詞,格助詞,連語,*,について,*,*
(,名詞,サ変接続,*,*,(,*,*
談話,名詞,サ変接続,*,*,談話,*,*
)●,名詞,サ変接続,*,*,)●,*,*
山本,名詞,固有名詞,人名,姓,山本,*,*
副,接頭詞,名詞接続,*,*,副,*,*
大臣,名詞,一般,*,*,大臣,*,*
は,助詞,係助詞,*,*,は,*,*
再発,名詞,サ変接続,*,*,再発,*,*
防止,名詞,サ変接続,*,*,防止,*,*
策,名詞,接尾,一般,*,策,*,*
を,助詞,格助詞,一般,*,を,*,*
きちんと,副詞,一般,*,*,きちんと,*,*
徹底,名詞,サ変接続,*,*,徹底,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
いただく,動詞,自立,*,*,いただく,五段・カ行イ音便,基本形
その後,名詞,副詞可能,*,*,その後,*,*
に,助詞,格助詞,一般,*,に,*,*
飛行,名詞,サ変接続,*,*,飛行,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
なり,助詞,接続助詞,*,*,なり,*,*
運用,名詞,サ変接続,*,*,運用,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
なり,助詞,副助詞,*,*,なり,*,*
という,助詞,格助詞,連語,*,という,*,*
方向,名詞,一般,*,*,方向,*,*
だ,助動詞,*,*,*,だ,特殊・ダ,基本形
など,助詞,副助詞,*,*,など,*,*
と,助詞,格助詞,引用,*,と,*,*
述べ,動詞,自立,*,*,述べる,一段,連用形
同型,名詞,一般,*,*,同型,*,*
機,名詞,接尾,一般,*,機,*,*
の,助詞,連体化,*,*,の,*,*
飛行,名詞,サ変接続,*,*,飛行,*,*
一,名詞,数,*,*,一,*,*
時,名詞,接尾,助数詞,*,時,*,*
停止,名詞,サ変接続,*,*,停止,*,*
と,助詞,並立助詞,*,*,と,*,*
安全,名詞,形容動詞語幹,*,*,安全,*,*
点検,名詞,サ変接続,*,*,点検,*,*
について,助詞,格助詞,連語,*,について,*,*
飛行,名詞,サ変接続,*,*,飛行,*,*
再開,名詞,サ変接続,*,*,再開,*,*
が,助詞,格助詞,一般,*,が,*,*
前提,名詞,一般,*,*,前提,*,*
と,助詞,格助詞,一般,*,と,*,*
の,助詞,連体化,*,*,の,*,*
認識,名詞,サ変接続,*,*,認識,*,*
を,助詞,格助詞,一般,*,を,*,*
示し,動詞,自立,*,*,示す,五段・サ行,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
...,名詞,サ変接続,*,*,...,*,*
