東京,名詞,固有名詞,地域,一般,東京,*,*
新聞,名詞,一般,*,*,新聞,*,*
:,名詞,サ変接続,*,*,:,*,*
こんな,連体詞,*,*,*,こんな,*,*
校則,名詞,一般,*,*,校則,*,*
いら,動詞,自立,*,*,いる,五段・ラ行,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
npo,名詞,固有名詞,組織,*,npo,*,*
有志,名詞,一般,*,*,有志,*,*
が,助詞,格助詞,一般,*,が,*,*
ブラック,名詞,一般,*,*,ブラック,*,*
実態,名詞,一般,*,*,実態,*,*
調査,名詞,サ変接続,*,*,調査,*,*
へ,助詞,格助詞,一般,*,へ,*,*
:,名詞,サ変接続,*,*,:,*,*
社会,名詞,一般,*,*,社会,*,*
(,名詞,サ変接続,*,*,(,*,*
tokyo,名詞,固有名詞,組織,*,tokyo,*,*
web,名詞,固有名詞,組織,*,web,*,*
),名詞,サ変接続,*,*,),*,*
ブラック,名詞,一般,*,*,ブラック,*,*
校則,名詞,一般,*,*,校則,*,*
こんな,連体詞,*,*,*,こんな,*,*
校則,名詞,一般,*,*,校則,*,*
いら,動詞,自立,*,*,いる,五段・ラ行,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
