関西,名詞,固有名詞,地域,一般,関西,*,*
の,助詞,連体化,*,*,の,*,*
議論,名詞,サ変接続,*,*,議論,*,*
安倍首相夫人,名詞,複合,*,*,安倍首相夫人,*,*
アッ,感動詞,*,*,*,アッ,*,*
キー,名詞,一般,*,*,キー,*,*
も,助詞,係助詞,*,*,も,*,*
感涙...園児,名詞,複合,*,*,感涙...園児,*,*
に,助詞,格助詞,一般,*,に,*,*
教育勅語,名詞,複合,*,*,教育勅語,*,*
教える,動詞,自立,*,*,教える,一段,基本形
愛国,名詞,一般,*,*,愛国,*,*
幼稚園,名詞,一般,*,*,幼稚園,*,*
卒園後,名詞,複合,*,*,卒園後,*,*
子供たち,名詞,複合,*,*,子供たち,*,*
が,助詞,格助詞,一般,*,が,*,*
潰さ,動詞,自立,*,*,潰す,五段・サ行,未然形
れる,動詞,接尾,*,*,れる,一段,基本形
と,助詞,格助詞,引用,*,と,*,*
小学校,名詞,一般,*,*,小学校,*,*
も,助詞,係助詞,*,*,も,*,*
運営,名詞,サ変接続,*,*,運営,*,*
へ,助詞,格助詞,一般,*,へ,*,*
-,名詞,サ変接続,*,*,-,*,*
産経ニュース,名詞,複合,*,*,産経ニュース,*,*
