id,created_at,text,fav,RT
1054881419518984197,2018-10-23 23:45:03,【埼玉】ＬＧＢＴパートナーシップ制度 県内７市町議会で導入求める請願など採択「『日本では、身内にも相談できず悩んでいる人がいる。制度の導入で少しでも勇気づけたい』」https://t.co/HVKX8VxAHZ,111,37
1054873989338677249,2018-10-23 23:15:32,おはようございます😊本日臨時国会が召集されます。本会議や開会式の様子はこちらでご覧いただけます！💻衆議院：https://t.co/cR3JMz2BUc💻参議院：https://t.co/BiwORy5sJJ,220,122
1054682596246867973,2018-10-23 10:35:00,この国から「LGBTへの差別」をなくすために必要な２つのこと https://t.co/diDY768EOa,160,71
1054640317071147008,2018-10-23 07:47:00,「様々な地域でのパートナーズ発のイベントの開催など、新たな政治文化をつくりだそうとする動きは、少しずつその輪を広げ始めている。政治と国民が、様々な課題を解決し、ともに新たな挑戦を始める対等なパートナーになる。」https://t.co/PPUcZ9BWLW #立憲パートナーズ,99,32
1054631241880727552,2018-10-23 07:10:56,「暴力やセクハラ、長時間労働を武勇伝にするなど、破天荒であることをかっこいいとみなすような伝統がありました。飲み会で全裸になって踊るのが破天荒でおもしろい、と後輩にも強いてきましたが、今はそれはダサいってこと、わかってないですよね」https://t.co/Pj0FrEhzAl,916,491
1054626914705391617,2018-10-23 06:53:45,日頃から発信するのは本当に大事ですよね。これまで政党アカウントは選挙時に慌ててアカウントを作ったり選挙中だけ発信したりするものが多かったので改善したい！！FBやLINEを持っている人でも「Twitterって？」という人も多いので、… https://t.co/4DNmKQVZNt,211,60
1054624858066182144,2018-10-23 06:45:34,立民 福山幹事長 臨時国会で政権対じ 野党連携主導の考え | NHKニュース   https://t.co/9NTKWx5ie5,184,80
1054619477176799232,2018-10-23 06:24:11,ありがとうございます😊 https://t.co/MiE3D4ISZc,81,15
1054528314285580288,2018-10-23 00:21:56,おはようございます😺😺,117,8
1054519031154331648,2018-10-22 23:45:03,立憲民主党が参院でも第1会派https://t.co/Roi72Gi5bu,354,129
1054345989765525504,2018-10-22 12:17:27,国、地方を合わせ不適切計上は7千人超 | 2018/10/22 - 共同通信 「障害者雇用水増し問題で、昨年6月時点の不適切計上は、国の28機関と地方自治体を合わせると7千人を超えた。」https://t.co/sXDjOMK1yq,155,113
1054276946983510016,2018-10-22 07:43:06,民主主義は､どのように殺されていくのか ハーバード大学教授が導き出した結論とは？ | 今週のHONZ - 東洋経済オンライン https://t.co/sABxHxzA9c #東洋経済オンライン @Toyokeizaiさんから,245,144
1054262830952701952,2018-10-22 06:47:00,立憲パートナーズ始動　枝野代表インタビュー「僕ら立憲民主党は、国民が政治参加をしたい、と感じた時の“使い勝手のいい道具”になりたいんです」#立憲パートナーズ https://t.co/bahBF6hVc6,341,158
1054250186430545920,2018-10-22 05:56:46,枝野代表は本日北海道奥尻島を視察しています。1993年に発生した北海道南西沖地震災害で亡くなられた方の名前が刻まれた慰霊碑に献花しました。 https://t.co/nwob4cSp1z,546,163
1054221017332178946,2018-10-22 04:00:51,国税庁が１１０３人と最多、障害者雇用の水増し：読売新聞 「不適切計上の総数３７００人のうち９３％にあたる３４３７人が手帳や診断書を所持していなかった。」https://t.co/UsW5ETfoxB,219,199
1054189140688875520,2018-10-22 01:54:11,今週24日に、いよいよ臨時国会が始まります🦄🍀結党2年目の国会。気を引き締めて頑張ります！！！https://t.co/YLEg1xQzVO,360,126
1054188317191823360,2018-10-22 01:50:55,那覇市長選、城間幹子氏が再選　玉城知事らが推す：朝日新聞デジタル https://t.co/EFREvyQQZO,350,87
1053945740827877377,2018-10-21 09:47:00,「僕らは“青空政党”です。ゼロからすべてをスタートさせようとしている。これからさまざまな人が民主主義の種をまくのだとすれば、僕ら立憲民主党の地方組織の取り組みは、その種が芽を出し成長する土壌をつくる」#立憲パートナーズ https://t.co/mvLoj6Ayos,324,117
1053931386304786432,2018-10-21 08:49:58,辺野古移設の行政不服審査「対話も否定する、選挙という民主主義の結果も否定する、民意を徹底的に踏みにじるもの」福山幹事長  #BLOGOS https://t.co/aoXp2lNiWH,761,419
1053925682470776832,2018-10-21 08:27:18,「ながつま昭は政治家になるための必須条件といわれていた、地盤（組織）・看板（知名度）・カバン（資金）いわゆる三バン無くして議席を得ました。なぜ、政治家を目指すのか。ただ、バッチを付けたいという理由ではなく明確で説得力のある理由をし… https://t.co/lnGoCrKKGR,298,124
1053899257940402176,2018-10-21 06:42:18,原発ゼロ法案賛成が条件　枝野氏、参院選応援巡り：日本経済新聞 枝野代表「法案に賛成してくれる人が応援の大前提だ」https://t.co/tueWSVZ3po,724,349
1053883961716305920,2018-10-21 05:41:31,ＬＧＢＴと私 考える３９分 自主映画、異例ロングラン「『映画は、当事者を特別視していた自分への反省文でもある。見る人にも当事者とどう向き合うか考えるきっかけにしてほしい』」https://t.co/vGq4RvBQu1,139,65
1053558635324825601,2018-10-20 08:08:47,立憲民主・枝野代表「改憲案審議よりＣＭ規制の議論優先すべき」 枝野代表「（テレビＣＭを）自主規制をすると仰っていた民放連が、全く方針転換をしたという状況の大きな変化があるので、これでは国民投票できませんので。これ（ＣＭ規制）につ… https://t.co/gN20NUAhSh,829,539
1053526256417935360,2018-10-20 06:00:07,公立の教員　半数以上“過労死ライン超え”「『時間内に仕事が処理しきれない』と答えた教員が全体の８２．８％を占め、『週６０時間以上』働き、過労死ラインを超えるような長時間労働になっている教員の割合は、全体の５３．４％にのぼった。」https://t.co/CSeOp2uoFQ,455,411
1053498118640099329,2018-10-20 04:08:19,滋賀に「げんこつおじさん」現る　１皿１０円のたこ焼きは“子どもを想う優しい心” 「お金持ってない子もいますやん。友だち食べんのにちょっときょうはお金がないから言うて、食べられないのもかわいそうやし。拳骨入れて、お金入れるふりだけ… https://t.co/aY6q1eyHoW,493,208
1053252996992163841,2018-10-19 11:54:17,【新人議員インタビューシリーズ始まります⚾️】立憲民主党にはたくさんの新人議員がいます。多様なストーリーを持つ立憲民主党の新人議員の素顔に迫るインタビューシリーズ「ルーキーズ」が始まりました！インタビューのトップバッターは中谷一… https://t.co/cKLtB560ID,236,108
1053246258331013120,2018-10-19 11:27:31,本日枝野代表は、佐々木道連代表、勝部次期参議院議員選挙候補予定者と一緒に、札幌市内で衆議院議員選挙以来ほぼ1年ぶりの街頭演説を行いました！足を止めてくださったみなさん、ありがとうございました🌼🌼 https://t.co/SBrwVzoG33,382,120
1053194472060706816,2018-10-19 08:01:44,今日の衆参国会対策会議の様子です。お昼は吉野家の牛丼（代表はつゆだく）でした。普段は色々なお弁当が出てきますが、今日は牛丼！いよいよ国会が始まるという雰囲気です🍱🍱 https://t.co/X6ZhJPWndo,679,205
1053170722070134784,2018-10-19 06:27:21,日本、また核禁止条約に触れず　国連廃絶決議案、失望広がる | 2018/10/19 - 共同通信 https://t.co/IbGaeP04iI,359,309
1053159086450106369,2018-10-19 05:41:07,ニュースになってしまった...😇赤旗記者の誤字に立憲ツイッターのっかる　「辻元議員『だれが怪物やねん』」 https://t.co/23cmjxfBss @jcast_newsより,522,202
1053143708978147328,2018-10-19 04:40:01,「安倍１強」選挙制度で一変　ドイツなら？ | 「至誠通天」長妻昭 | 長妻昭 | 毎日新聞「政治プレミア」 https://t.co/KW3rVwOXN6,231,90
1052920684899258368,2018-10-18 13:53:48,“LGBT”差別禁止する都条例成立…「権利や制度認めることが先」との意見も｜TOKYO MX+ https://t.co/l5he6Lvl8p,244,110
1052830830794399744,2018-10-18 07:56:45,普段あんまり他党のアカウントにはツッコまないのですが、我慢できず😅 https://t.co/3XEaeJVzlK,376,90
1052830087345713153,2018-10-18 07:53:48,辻元議員「だれが怪物やねん」😇 https://t.co/q2CeLeJNZJ,2012,964
1052812779013332992,2018-10-18 06:45:01,自衛隊「採用年齢」引き上げの裏側 | 2018/10/18 - 共同通信 https://t.co/zIX0q3mzYI,97,65
1052770411388096512,2018-10-18 03:56:40,立憲民主党の参議院会派の「立憲民主党・民友会」は、国会の控室にようやく会派の看板掛けを行いました！まもなく臨時国会を迎えます💪🏼 https://t.co/G2jySV7Ju2,410,120
