id,created_at,text,fav,RT
1020251995930677248,2018-07-20 10:20:05,「政治の私物化が21世紀の民主主義国家日本で堂々とまかり通るとは今でも信じられない」#玉木雄一郎 共同代表が20日、衆院で審議された安倍 #内閣不信任決議案 に賛成の立場から討論しました。… https://t.co/lhwb6B3vRP,44,38
1020226933378842624,2018-07-20 08:40:30,幼い命を守るため、児童虐待による死亡事件再発防止法案の成立へ全力 - 国民民主党 https://t.co/i7rjCXMqjv,29,16
1020109655844900865,2018-07-20 00:54:29,「カジノ法案には断固反対した。そして少数野党にできることとして付帯決議で問題点を世に知らしめる戦いを展開した」。参院内閣委員会でのIR(カジノ)整備法案採決への対応について舟山康江参院国対委員長と矢田わか子内閣委員会理事が記者会見… https://t.co/cmeuW8SLyN,103,89
1020101918817861632,2018-07-20 00:23:44,【西日本豪雨】義援金保護法２０日成立へ　被災者の生活再建目指し衆院で可決 https://t.co/YCvr8yu77z @Sankei_newsさんから,24,20
1020101787338936326,2018-07-20 00:23:13,児童虐待防ぐため　児童福祉司を大幅増へ #日テレNEWS24 #日テレ #ntv https://t.co/c45EdgEWZ8,21,21
1020101675753672705,2018-07-20 00:22:46,２０日 国会“会期末” 野党「３枚のカード」で最後の抵抗へ https://t.co/nJK49DotG7,36,28
1020101555670827008,2018-07-20 00:22:18,野党側が内閣不信任案提出へ 与野党攻防最後のヤマ場 | NHKニュース   https://t.co/BtT0QdWDDs,13,12
1019829208682397696,2018-07-19 06:20:05,「#ふるさと納税 でできる #災害支援」。西日本の広い地域に甚大な被害をもたらした #豪雨災害 の被災自治体支援を「ふるさと納税」の仕組みで行えるようにする試みが注目されています。「ふるさとチョイス／災害支援」のページと対象自治体… https://t.co/75pBU5lhZU,42,31
1019812803694088192,2018-07-19 05:14:54,国民民主党は現在の通常国会会期中の毎週木曜日の夕刻に東京都内各所で定例街頭演説を行ってまいりましたが、本日は国会日程の都合により行いませんので、ご注意ください。,34,32
1019750455813931008,2018-07-19 01:07:09,カジノ含むＩＲ整備法案めぐり 与野党の激しい攻防続く | NHKニュース   https://t.co/rAHa1rMmAB,17,10
1019750337115066368,2018-07-19 01:06:41,野党、「天下の悪法」と一斉批判＝公明は苦しい釈明：時事ドットコム https://t.co/KFOTIRm1bm @jijicomさんから,27,16
1019750193925828608,2018-07-19 01:06:06,国民 代表選 来月22日告示 ９月４日投票を決定 | NHKニュース   https://t.co/LcwgwrLHIp,37,33
1019162315059367937,2018-07-17 10:10:05,「速やかに #激甚災害 指定を行い、必要な #補正予算 の編成を急ぐべき」。#玉木雄一郎 共同代表は16日、豪雨災害により大きな被害を被った岡山県の #倉敷市 と #総社市 を訪れ、両市の市長や被災者から直接話を聞いたうえでこのよ… https://t.co/EhQEkjExHL,45,51
1019154770437652481,2018-07-17 09:40:06,#古川元久 幹事長は13日、#豪雨被害 に見舞われた広島県 #東広島市、愛媛県 #宇和島市 を訪れ、被災現場を視察するとともに、避難所で被災者の皆さんから直接お話を聞きました。 https://t.co/TUo6hBTKDH… https://t.co/sFlro2Y6hX,27,22
1019154767111696384,2018-07-17 09:40:06,「#災害対策 は、他のいかなる案件よりも、国会で最優先で取り組まなければならない。政府与党に対して厳しく要求していく」。国民民主党の #玉木雄一郎 共同代表は16日、岡山市内で開かれた国民民主党岡山県連結成大会のあいさつでこのよう… https://t.co/PKzFMsikZr,32,28
1019075950825242624,2018-07-17 04:26:54,国民 ＡＩ活用の政策提言を検討 ”参院選公約に反映を” | NHKニュース   https://t.co/CjRi4de6UD,39,28
1019075853718679552,2018-07-17 04:26:31,国民 玉木氏“豪雨対応に疑問” 内閣不信任決議案提出検討 | NHKニュース   https://t.co/mpUpudzDlU,43,36
1017921060291973120,2018-07-13 23:57:47,#大塚耕平 共同代表は13日、#札幌 市内で #徳永エリ 参院議員、#山岡達丸 衆院議員らと街頭演説を行い、豪雨災害支援の募金を呼びかけるとともに、国民民主党が目指す方向について訴えました。https://t.co/TXqQwGs0r8,42,30
1017408087609577476,2018-07-12 13:59:25,【豪雨災害被災者支援募金を呼びかけ】国民民主党は12日、東京・田町駅前で街頭演説会を開催。玉木雄一郎共同代表ら所属国会議員が募金箱を手に、西日本を中心に大きな被害をもたらした豪雨災害の被災者支援の義援金を呼びかけました。https://t.co/XdeAruB4dw,50,33
1017341985214980098,2018-07-12 09:36:45,「優先順位低い法案の通過より人命救助を」。#玉木雄一郎 共同代表は12日の会見で、政府が優先順位の低い法案を通過させるよりも人命救助や行方不明者の捜索を最優先させるべきだと強調。16日に #岡山、18日に #愛媛 で視察とボランテ… https://t.co/sGEmQcFpab,82,59
1017058347978067974,2018-07-11 14:49:40,【改革は名ばかりの自民6増案に反対】参院「1票の格差」是正が緊急の課題となるなか、自民党は選挙区2増jと合区対象県候補者救済の比例特定枠新設で4増の計6増という自らの案だけを採決。国民民主党は11日の参院本会議で改革とは名ばかり… https://t.co/IlGcuSkylA,75,61
1016614600467365888,2018-07-10 09:26:23,給水所の場所がGoogle Mapで一目でわかる。有志が行政の情報を元に「給水MAP」を作成  https://t.co/DBy2rWexk4 @ciaoliviaさんから,59,77
1016572378455818240,2018-07-10 06:38:36,「石井国交大臣はIR法案審議ではなくインフラの復旧、二次災害の防止など災害対応に一番に当たるべき」#泉健太 国対委員長は定例記者会見でこう述べました。https://t.co/oTYAlDFXY3,87,67
1016270765606359040,2018-07-09 10:40:06,「われわれとしても、できるだけのことをする。​国会も残りわずかのタイミングでこのような災害が起きた。与野党ともぜひ的確な対応を求めたい」。大塚耕平共同代表は9日の記者会見で豪雨災害対応についてこのように述べました。https://t.co/g25nhpgKZB,48,41
1016235500653273089,2018-07-09 08:19:58,台風7号及び前線等により全国各地で発生した豪雨による災害が各地に深刻な被害をもたらしていることを受け、国民民主党の大塚耕平共同代表をはじめ野党党首が9日夕刻、揃って官邸を訪れ、行政府・立法府が一体となって災害対応に取り組むよう安倍… https://t.co/KOT8ohRQsv,92,88
