id,created_at,text,fav,RT
1054938810729951233,2018-10-24 03:33:06,政府が「明治１５０年式典」首相式辞/共産党は欠席 https://t.co/5koyRWOa01,13,8
1054938289285693440,2018-10-24 03:31:02,2018.10.24（水） ＃しんぶん赤旗 の一面です。「ダメ圧倒 消費税10%」 #赤旗電子版📱👉https://t.co/mhanjXveBH https://t.co/rovhEN728b,17,16
1054874743780794368,2018-10-23 23:18:32,本日より。ご注目ください。野党、閣僚の「政治とカネ」に照準　臨時国会２４日開会：朝日新聞デジタル https://t.co/FL0Sdm5dFm,67,88
1054872665066893313,2018-10-23 23:10:16,［#JCPサポーターまつり 情報更新］いよいよ今週末開催です！各ブース等の位置情報を掲載した、当日のMAPをUPしました。👉 https://t.co/HKQBCdAaYM#JCPサポーターまつりをつくろう https://t.co/h3uuU8wYLu,16,32
1054747015576346625,2018-10-23 14:50:59,「新潟市長選（２８日投票）は、４候補による激しい戦いとなっています。幅広い市民とすべての野党（共産、立憲、国民、社民、自由、緑、新社会）が推す、無所属新人の小柳（こやなぎ）さとし候補（３１）＝元新潟市議＝が、自民党が推す候補を猛追… https://t.co/fUfKzUB2LY,287,294
1054739656187752448,2018-10-23 14:21:44,🙏🌞🙏#JCPサポーターまつりをつくろう https://t.co/dztKG1yZe1,10,7
1054613875511898112,2018-10-23 06:01:56,政府が明治維新１５０年を祝う式典　天皇陛下は出席せず：朝日新聞デジタル https://t.co/Qb3BM13ZXw,176,150
1054579970217922561,2018-10-23 03:47:12,むむ…さすがにやりますね。 #肉球新党 #JCPサポーターまつり https://t.co/WHwNQhCCar,18,14
1054579333992374272,2018-10-23 03:44:41,滅相もございません。 #肉球新党 https://t.co/hYU4ZXoil4,13,5
1054577842552373248,2018-10-23 03:38:45,「前川氏は、町民の声を聞かない町政を批判し、「公立３保育所の堅持」や、「住民委員会」の設置など住民主体のまちづくりなどを公約に掲げて、広範な支持を得ました。」京都・大山崎町長に共産党支持の前川氏/自公など推薦の現職破る https://t.co/8dEpboxOkr,129,113
1054577366133964801,2018-10-23 03:36:51,2018.10.23（火） ＃しんぶん赤旗 の一面です。障害者雇用水増し「中央省庁不正3700人」 #赤旗電子版📱👉https://t.co/mhanjXveBH https://t.co/rgpFH7PSAC,23,20
1054571920488681472,2018-10-23 03:15:13,「こうも簡単に見捨てるのか」　政府与党、劣勢で配慮一転　那覇市長選敗北 https://t.co/kmRt5vE1NJ @theokinawatimesより,19,19
1054497718079414273,2018-10-22 22:20:22,「新潟市長選は今回、自民党の元参院議員と、同党の元衆院議員の娘婿である元新潟市議が互いに譲らず、事実上の保守分裂選挙となった。党本部は元参院議員に支持を出したものの、幹部の一人は「（野党系との）一騎打ちでも大変なのに、割れたらさら… https://t.co/045EjC3BQ0,72,77
1054346819231084546,2018-10-22 12:20:45,打倒！#肉球新党 ！！#JCPサポーターまつりをつくろう https://t.co/vVTunuL0qn,44,39
1054341412123172864,2018-10-22 11:59:16,ちょっとちょっと！！情報公開請求、共産党だけ黒塗りで渡す　大津市「ミス」：朝日新聞デジタル https://t.co/YFceKxPQGr,111,137
1054338306786320384,2018-10-22 11:46:55,カンパありがとうございます！#JCPサポーターまつりをつくろう https://t.co/UpmEqsiLaQ,17,6
1054329339448193024,2018-10-22 11:11:17,#JCPサポーター 公式グッズ coming soon… #JCPサポーターまつり#JCPサポーターまつりをつくろう https://t.co/qIZcNrj1k9,55,52
1054321007505227777,2018-10-22 10:38:11,日本共産党は政党交付金を受け取らない政党です。「制度に反対する共産党は受け取りに必要な届け出をしていない」総務省：政党交付金８党に７９億円交付 - 毎日新聞 https://t.co/21coqY5rwm,355,314
1054220112188780544,2018-10-22 03:57:15,よろしくお願い致しますm(_ _)m#JCPサポーターまつり のカンパはこちらから💁‍♀️ https://t.co/HKQBCdAaYM https://t.co/bUyG27joVh,15,12
1054212092562071552,2018-10-22 03:25:23,＃JCPサポーターまつり の一坪マーケットは、おかげさまでたくさんのご応募を頂いておりまして、残りのスペースが少なくなってまいりました。お店を出してみたいという方は、お早めにご応募ください💁‍♂️… https://t.co/p6arZeoOtj,20,37
1054208641077719040,2018-10-22 03:11:40,「岡山県災対連と日本共産党が運営する被災者支援センター（倉敷市真備町）は２１日、西日本豪雨の被災者が入居する箭田（やた）地区の仮設住宅に支援物資を届けました。」真備町仮設に支援物資/コメや冬服など　災対連と共産党/岡山 https://t.co/y6akNoIS9v,23,20
