id,created_at,text,fav,RT
1039343421805084672,2018-09-11 02:42:36,「#平成30年北海道胆振東部地震」対策本部は、政府に万全な対策を講じるよう求めました。地震発生後に党として国会議員を被災地に派遣し、現地の地方議員と連携を取りながら対応。「被災者は大変な思いをしている。被災者の思いに応えることが… https://t.co/ILkYXlww9D,82,33
1039341431939260417,2018-09-11 02:34:42,山口代表が支援訴え　#さきま 氏断固勝利を！#沖縄県知事選 30日（日）投票山口代表は「沖縄が本来めざしてきたものは、分断や対立ではなく、対話や協調といった『和』の心によって、物事を前進させることだ。それに一番ふさわしい人が、… https://t.co/kCPleTM4iM,85,34
1039038235710636032,2018-09-10 06:29:54,若松かねしげ、横山信一参院議員は、#北海道胆振東部地震 で地盤の液状化による甚大な被害に見舞われた札幌市清田区に赴き、区内に開設された避難所で被災者を見舞い、励ましました。https://t.co/jUZ8EpIOnp https://t.co/CKvvWADftc,102,35
1039037534523645952,2018-09-10 06:27:07,佐藤英道衆院議員は、北海道地震の影響による全域停電の被害状況の調査で、江別市を訪れ、酪農を経営者と意見を。ストレスを受けた乳牛の搾乳量が減少したとの声に、しっかり取り組むと語りました。#北海道地震情報 #北海道胆振中東部地震… https://t.co/iMtNk3j7B6,174,60
1037962768295460864,2018-09-07 07:16:23,北海道は、前線の影響で8日(土)にかけて雨が降りやすくなっています。地盤が不安定になっている部分などは、弱い雨でも崩れる恐れがありますので危険な場所にはできるだけ近づかず安全第一にお願いします。体調管理にお気を付けください。https://t.co/H7Qux2kJWg,88,47
1037925275764322304,2018-09-07 04:47:24,札幌市のHPでは、電車やバスなどの公共交通の運行状況、水道や電気などのライフラインの状況、ごみの収集などがまとめられた特設サイトが開設されています。https://t.co/R5NuhbxGVB,45,24
1037916441939341312,2018-09-07 04:12:17,参院 #災害対策 特別委員会（かわの義博委員長＝公明党）は6日、7月の #西日本豪雨 で甚大な #被害 を受けた #岡山県倉敷 、#総社 の両市を訪れ、 #被災状況 を調査しました。一行は、豪雨で浸水し爆発事故を起こした総社市内の… https://t.co/vIFf55JEgd,86,20
1037884097022967808,2018-09-07 02:03:46,公明党訪中団の #山口代表 （団長）は6日午後、北京市内で #中国 共産党中央政治局常務委員の #汪洋 中国人民政治協商会議全国委員会主席と会見しました。大幅に予定時間を超過し、 #日中関係 の発展加速について、踏み込んだ対話を行… https://t.co/vx7UJ6xxV9,73,22
1037883567697580032,2018-09-07 02:01:40,公明党の稲津久と佐藤英道の両衆院議員は6日、 #震度6強 の激しい揺れに見舞われた #北海道安平町 に急行し、同町役場で及川秀一郎町長から #被災状況 について説明を受けました。町長は「各避難所に配布する食料などの #救援物資 が… https://t.co/IS7AXevJKq,148,66
1037688708747546624,2018-09-06 13:07:22,【テキスト版】地震・ライフライン情報まとめ - Yahoo!ニュース https://t.co/rX2NTj9wst,65,25
1037650011381673986,2018-09-06 10:33:35,大災害が発生した時とき支援を要する障害者や高齢者への情報を掲載していますhttps://t.co/FVUqKJn3fN,81,43
1037607221331296256,2018-09-06 07:43:34,#台風21号 による風雨で被害が出ている地域では、自治体などがホームページで支援情報を発信をしています神戸新聞にリンクが掲載されていますhttps://t.co/GMBYP2e1lh兵庫県避難情報https://t.co/UrKmRKmgmT,42,24
