id,created_at,text,fav,RT
1020119097164455936,2018-07-20 01:32:00,松沢代表が皆様からの質問に時間の許す限りお答えする生放送「希望の即答」。皆様からの質問を引き続き募集しています。参加方法はツイッターで「 #希望の即答 」をつけて投稿するだけ！公序良俗に反するような内容等を除き、時間の許す限りお答… https://t.co/mmzbcKCC7i,3,1
1020118595441852416,2018-07-20 01:30:00,【来週放送は水曜日です】松沢代表が皆様から事前に集めた質問に時間の許す限りお答えする生番組「 #希望の即答 」。次回放送は7/25（水）16時からです。https://t.co/vYIrHzbYoB お時間のご都合付かない方もタイ… https://t.co/ttTvjOITvu,1,0
1019923307938959360,2018-07-19 12:34:00,松沢代表が皆様からの質問に時間の限りお答えする生放送「希望の即答」では、引き続き皆様からの質問を募集しています。参加方法はツイッターで「 #希望の即答 」をつけて投稿するだけです。公序良俗に反する内容等を除き、時間の許す限りお答え… https://t.co/RLq8xqttGR,7,3
1019922302442409984,2018-07-19 12:30:00,今週も松沢代表が皆様からの質問に時間の限りお答えする「 #希望の即答 」のご視聴ありがとうございました。見逃した方はタイムシフトでご覧下さい！ https://t.co/YZN3gxva2L 来週は7/25（水）16時から放送！… https://t.co/CmIfhxkvIw,9,2
1019911595466448901,2018-07-19 11:47:28,第5回西日本豪雨災害対策本部を開催しました。被災者生活再建支援法の適用基準を、人口要件のみで区切るのではなく、幅広く適用されるよう求めるとともに、全壊や大規模半壊に限らず、土砂により住めなくなった場合にも適用されるよう求めました。… https://t.co/iBMohpiBkL,4,2
1019797729382346752,2018-07-19 04:15:00,【希望の党代表定例記者会見】本日7/19（木）16時より生放送！https://t.co/YZN3gxva2L今週もやります！皆様から事前に頂いた質問に松沢代表が直接答える「 #希望の即答 」コーナー！お時間の合わない方もタイ… https://t.co/lLntjv0Jx4,5,1
1019595008230318080,2018-07-18 14:49:27,健康増進法改正案の成立あたってhttps://t.co/5LTmGItkfo https://t.co/R758HMOjcV,9,3
1019507316054298626,2018-07-18 09:01:00,希望の党の松沢代表に質問をすると、生放送で行う代表記者会見中に、なんと本人が答えます！参加方法は #希望の即答 を付けてツイッターで発言するだけです！希望の党に考えを聞きたい！松沢代表に質問したい方は奮ってご質問ください！… https://t.co/ol9Y04GDIi,7,3
1019507069148266501,2018-07-18 09:00:01,【希望の党代表定例記者会見】明日7/19（木）夕方4時から生放送！ https://t.co/YZN3gxva2L その時間にご都合悪い方もニコ生のタイムシフト予約でご都合の良いお時間に視聴できます。事前に皆様から頂いた質問に松沢… https://t.co/T2kVGL9W4t,6,2
1019415460968914945,2018-07-18 02:56:00,希望の党に質問をすると松沢代表が代表記者会見（ニコニコで生放送！）内で時間の限りお答えします！参加方法は #希望の即答 を付けてツイッターで発言するだけ！希望の党の考えを聞きたい！松沢成文に質問したい方はどしどしご質問ください！… https://t.co/z0dCTG90vM,6,3
1019415214964391938,2018-07-18 02:55:01,【希望の党代表定例記者会見】明日7/19（木）夕方16時より生放送！ https://t.co/YZN3gxva2L ニコニコ生放送のタイムシフト予約でご都合よいお時間にご覧いただけます。皆様から頂いた質問に松沢代表が直接答えるコ… https://t.co/BS6jlkzu1C,4,1
1019258175164502018,2018-07-17 16:31:00,生放送の定例記者会見内で皆様からの質問に松沢代表が答える「 #希望の即答 」のコーナー。公序良俗に反するような内容等を除き、時間の許す限り多くの回答をと考えておりますが、お一人の方からの複数質問については絞らせていただく事もありま… https://t.co/gTIX4G12Nk,4,2
1019257925951315969,2018-07-17 16:30:01,【希望の党代表定例記者会見】明日7/19（木）16時より生放送！ https://t.co/YZN3gxva2L 希望の党からの発信やマスコミ各社との質疑応答の模様をお伝えしつつ、皆様から頂いた質問に松沢代表が直接答える「… https://t.co/ZvKNxYNfxT,11,7
1019212876404359168,2018-07-17 13:31:00,引き続き希望の党は松沢代表への質問を大募集しています！ニコ生で毎週お届けする代表記者会見内「希望の即答」コーナーで、公序良俗に反するような内容等を除き、放送時間の許す限り本人が直接お答えします。参加方法は「 #希望の即答 」を付け… https://t.co/UxvAR88VkJ,3,2
1019212626700656641,2018-07-17 13:30:00,7/19（木）16時より希望の党代表定例記者会見をニコニコで生放送！ https://t.co/YZN3gxva2L 松沢成文代表がマスコミ各社の質問に答える模様をお伝えするだけではなく、皆様からの質問にもお答えする最大1時間の生放送。今週も是非ご覧ください。 #希望の党,3,1
1019176627668832257,2018-07-17 11:06:58,本日、第4回西日本豪雨災害対策本部会議を開催しました。猛暑が続く中、避難所にいる方々への支援はもちろんのこと、在宅の被災者の方々に対してもきめ細やかな支援を求めました。また井上一徳衆議院は、災害現場にも出向きヒアリングをしており… https://t.co/5CydxMPF89,19,10
1017709275374735360,2018-07-13 09:56:14,7月15日(日)、松沢成文代表がNHK「日曜討論」に出演しますので、下記の通りご案内致します。出演者：松沢成文 代表番組名：NHK「日曜討論」【https://t.co/lfODRtwPAu】放送日時：平成30年7月15日… https://t.co/rFlSFQmROn,8,2
1017637589539479553,2018-07-13 05:11:22,7月12日、第３回西日本豪雨(平成30年7月豪雨)災害対策本部会議を開催しました。関係省庁より、現在の被害状況と、前回の検討事項に対する取組状況の説明を受け、対応に万全を尽くしていただき旨申し入れました。引き続き、復旧・復興に全… https://t.co/vI17pjwUzh,13,8
