id,created_at,text,fav,RT
1054295804649779201,2018-10-22 08:58:02,トランプ米大統領によるＩＮＦ全廃条約破棄の方針表明に抗議する（談話）https://t.co/Je3CSNnhvm,31,26
1054254878564933632,2018-10-22 06:15:24,中央省庁の障がい者雇用水増し問題の報告書の公表について（談話） https://t.co/P7aiB4xDjx,17,19
1052508366466035712,2018-10-17 10:35:23,安倍政権による辺野古埋立に関する対抗措置に断固抗議する（談話）https://t.co/1Qf3Gi3K3M,46,39
1051777973286666240,2018-10-15 10:13:04,消費税率引き上げとそれに伴う対応について（談話）● 逆進性があり、国民生活や景気の悪化を招く消費税率の１０％への引き上げには断固反対である。https://t.co/sYoWWRaKzq,52,59
1051689919326773249,2018-10-15 04:23:10,自衛隊記念日観閲式における安倍首相の訓示について（談話）●憲法の平和原則をふみにじり、明白に憲法尊重擁護義務に違反するものであり、決して許されない。https://t.co/JESDhRZHZ8,35,36
1051688826303737856,2018-10-15 04:18:50,相次ぐ政治とカネの疑惑について●閣僚や大臣政務官に政治とカネの疑惑が相次いで報じられています。柴山昌彦・文科相、宮腰光寛・沖縄北方担当相、工藤彰三・国土交通政務官。政治とカネの疑惑の究明、安倍首相の任命責任を厳しく追及していきま… https://t.co/znVCFqTSPO,54,40
1050679768343953410,2018-10-12 09:29:12,国民と農家の未来、だまし言葉でつぶすな● ＴＡＧという言葉自体初耳です。まさにＦＴＡのことではないか。【吉川はじめ・社民党幹事長】｜JAcom 農業協同組合新聞https://t.co/LdgNLY2Z54,35,36
1050648351643820032,2018-10-12 07:24:21,玉城デニー沖縄県知事が、社民党にご挨拶にいらっしゃいました。 https://t.co/L8zTW5nvJw,429,271
1049887176002072577,2018-10-10 04:59:43,アメリカの臨界前核実験の実施に強く抗議する（談話）https://t.co/WLCUbKRj3i,36,29
1047750320074383361,2018-10-04 07:28:37,柴山昌彦文部科学大臣の罷免を求める（又市征治）https://t.co/e8W7tured5,112,111
1047749045513379842,2018-10-04 07:23:33,大西英男衆議院議員の総務大臣政務官発令を撤回すべきだ（又市征治）https://t.co/v2VBkt1Cp5,47,49
1047746835115196416,2018-10-04 07:14:46,安倍昭恵氏は「教育勅語」を園児に暗誦させていた森友学園を「すばらしい」と評価していたが、その教育勅語は、立法府である国会において失効を確認する決議を行なっている。柴山文科大臣の発言は憲法違反、国会軽視であり、直ちに罷免するよう求め… https://t.co/lc17vaxc1A,219,217
1047016151908274178,2018-10-02 06:51:17,第４次安倍改造内閣の発足について（談話）●責任を部下に押しつけ、政治責任を一切取ろうとしない麻生副総理兼財務相の続投は理解できない。決着していないモリカケ問題、災害対応の補正予算など、臨時国会を早期に召集すべきである。。https://t.co/0qTvM88fH5,64,62
1046588438084968449,2018-10-01 02:31:42,米空軍オスプレイの横田基地への配備強行に断固抗議する（談話）●住民の不安や周辺自治体の懸念をよそに、安全を脅かし騒音をまき散らすオスプレイの配備を強行した米政府及びそれに追従する日本政府に対し、断固抗議し、配備の撤回とオスプレイ… https://t.co/YogGBMgGTx,44,47
1046428113603706880,2018-09-30 15:54:38,沖縄県知事選挙の結果について（談話）https://t.co/tQpmG6nGua,36,27
1045219708406915073,2018-09-27 07:52:52,日米の新たな通商交渉入り合意に抗議する（談話）●「真珠湾（攻撃）を忘れていない」などとするトランプ大統領の恫喝に屈して、自動車への関税上乗せ先送りの見返りに日本の農産物を差し出した屈辱外交に他ならず断じて容認できない。https://t.co/Bd9fBDiq5i,20,23
1044898168163393538,2018-09-26 10:35:11,東海第２原発の審査書案の正式決定に抗議する（談話）●津波で外部電源を失い、安定する冷温停止まで通常の２倍を超える３日半を要した原発であり、過酷事故の寸前だったといえる事態を引き起こしている。今年１１月には４０年の運転期限。断固抗… https://t.co/y34yADpUbr,39,53
1044523972908335105,2018-09-25 09:48:16,四国電力伊方原発３号機の運転差し止め仮処分決定の取り消しに断固抗議する（談話）●前回の決定は、阿蘇山の破局的噴火の危険性から立地不適としていたが、今回の決定は、四国電力の主張を一方的に受け入れた今回の仮処分決定の取り消しに対し、… https://t.co/no87RoDo45,48,36
1044438611767119872,2018-09-25 04:09:04,宜野湾市長選挙・ナカニシ春雅候補を、テルヤ寛徳衆院議員が応援❣️ https://t.co/aPiXujOmtg,44,36
1042691381804752897,2018-09-20 08:26:12,石破氏は善戦された。安倍陣営によるアメとムチの締め付けの中、まじめな自民党員の皆さんの中にも、この間のアベ政治の暴走への批判が、一定あることを示した。相次ぐ大災害に対し、補正予算を早期に編成するとともに、臨時国会を召集するよう求め… https://t.co/X5ygPxeh55,143,160
1042683325800833026,2018-09-20 07:54:11,本日を「アベ政治の終わりの始まり」にしなければならないとの決意を新たにし、野党共闘を強化していきたい。（20日、会見で又市党首） https://t.co/HxXb3F5Jxk,181,115
1042680610886574081,2018-09-20 07:43:24,「北海道大規模停電問題　野党合同ヒアリング」が20日午前に開催され、社民党から福島みずほ副党首が出席しました。 https://t.co/VDI3qs1Q8S,23,23
1042316007216316416,2018-09-19 07:34:36,【声明】憲法違反の「戦争法」（平和安全保障法制）の採決が強行されてから、３年が経ちました。改めて「戦争法」の廃止を訴えます。https://t.co/RZHGnE2NuV,52,34
1042315197585604608,2018-09-19 07:31:23,南北首脳会談について（談話）●社民党は、板門店宣言以降の南北当局間の緊密な対話と融和の動きを心から歓迎する。https://t.co/tZkDl5yCUr,24,12
1041975663823970307,2018-09-18 09:02:11,😊２０１９統一自治体選挙政策パブリックコメント😊▶️今週２１日（金）まで、パブコメを実地しています🤗https://t.co/8m6mJvgBRx https://t.co/HgtUemhPET,14,12
1039072049602256896,2018-09-10 08:44:16,【２０１９統一自治体選挙政策　パブリックコメント】社民党では現在、来年の統一自治体選挙に向けて政策づくりを進めています。党全国連合では、下記ＵＲＬに掲載の通り「たたき台」を作成いたしました。この「たたき台」に対しまして、パブリッ… https://t.co/5YOL9nv7ce,39,41
1037585836806533120,2018-09-06 06:18:35,北海道地震を受け、社民党地震災害対策本部を設置し、党北海道連合や自治体議員団と連携し対応に万全を期している。政府においては、大阪北部地震、西日本豪雨、台風２１号被害と続いており、早期に補正予算を組み、関係自治体や住民の皆さんに安心… https://t.co/Si7cBDjApV,50,58
